NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Malbork,PL,Gdansk,PL,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),19.049999,54.033333,ADL3290208,18.666668,54.349998,ADL3276372,1032,331,P000,tmcDEm1500_001a
Gdansk,PL,Lebork,PL,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),18.666668,54.349998,ADL3276372,17.75,54.55,www.fallingrain.com,331,2870,P000,tmcDEm1500_002a
Lebork,PL,Slupsk,PL,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),17.75,54.55,www.fallingrain.com,17.033333,54.450001,ADL3303776,2870,1181,P000,tmcDEm1500_003a
Slupsk,PL,Koszalin,PL,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),17.033333,54.450001,ADL3303776,16.1833,54.2,www.fallingrain.com,1181,2819,P000,tmcDEm1500_004a
Koszalin,PL,Kolobrzeg,PL,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),16.1833,54.2,www.fallingrain.com,15.583333,54.183334,ADL3283491,2819,1159,P000,tmcDEm1500_005a
Kolobrzeg,PL,Goleniow,PL,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),15.583333,54.183334,ADL3283491,14.8167,53.5667,www.fallingrain.com,1159,2910,P000,tmcDEm1500_006a
Goleniow,PL,Szczecin,PL,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),14.8167,53.5667,www.fallingrain.com,14.583333,53.416668,ADL3306812,2910,1186,P000,tmcDEm1500_007a
Szczecin,PL,Angermunde,DE,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),14.583333,53.416668,ADL3306812,14,53.0333,www.fallingrain.com,1186,2868,P000,tmcDEm1500_008a
Angermunde,DE,Bernau,DE,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),14,53.0333,www.fallingrain.com,13.5833,52.6667,www.fallingrain.com,2868,2869,P000,tmcDEm1500_009a
Bernau,DE,Berlin,DE,nkn,plg,rd,maj,A001,B001,C001,nkn,d000dd,nkn,t000t,1470,1530,QC3,Etzlaub 1500 (in Spufford 2002:2),13.5833,52.6667,www.fallingrain.com,13.4,52.516666,ADL2094067,2869,1472,P000,tmcDEm1500_010a
