"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Alexandria","29.9","31.2","EG","nkn","exact","114","tmcZWEm1300a_131a"
"Augsburg","10.8833","48.3667","DE","nkn","exact","2795","tmcZWEm1300a_056a"
"Avignon","4.816667","43.950001","FR","nkn","exact","404","tmcZWEm1300a_033a"
"Barcelona","2.183333","41.383331","ES","nkn","exact","389","tmcZWEm1300a_213a"
"Bergen","5.3247","60.3911","NO","nkn","exact","3131","tmcZWEm1300a_173a"
"Bologna","11.3333","44.4833","IT","nkn","exact","2713","tmcZWEm1300a_059a"
"Boston","-.0167","52.9833","UK","nkn","exact","3130","tmcZWEm1300a_176a"
"Bruges","3.2333","51.2167","BE","nkn","exact","2702","tmcZWEm1300a_005a"
"Brunswick","10.5333","52.2667","DE","nkn","exact","2797","tmcZWEm1300a_064a"
"Chipping Campden","-1.7833","52.0333","UK","nkn","exact","3060","tmcZWEm1300a_003a"
"Cologne","6.95","50.933334","DE","nkn","exact","411","tmcZWEm1300a_053a"
"Constantinople","28.966667","41.016666","TR","nkn","exact","71","tmcZWEm1300a_115a"
"Cracow","19.916668","50.083332","PL","nkn","exact","343","tmcZWEm1300a_068a"
"Danzig","18.666668","54.349998","PL","nkn","exact","331","tmcZWEm1300a_161a"
"Durham","-1.5667","54.7667","UK","nkn","exact","3057","tmcZWEm1300a_001a"
"Florence","11.25","43.7667","IT","nkn","exact","2716","tmcZWEm1300a_060a"
"frk01-tmc051117",".333333","46.583332","FR","?Poitiers","exact","449","tmcZWEm1300a_007a"
"frk02-tmc051117","-.566667","44.833332","FR","?Bordeaux","exact","408","tmcZWEm1300a_009a"
"frk03-tmc051117","-6.366667","39.483334","ES","?Caceres","exact","291","tmcZWEm1300a_014a"
"frk04-tmc051117","-5.986944","37.37722","ES","?Sevilla","exact","289","tmcZWEm1300a_014a"
"frk05-tmc051117","-3.6","37.1833","ES","?Granada","exact","1272","tmcZWEm1300a_019a"
"frk06-tmc051117 ","3","43.183","FR","?Narbonne","exact","109","tmcZWEm1300a_028a"
"frk07-tmc051117","5.016667","47.316666","FR","?Dijon","exact","1517","tmcZWEm1300a_035a"
"frk08-tmc051117","16.366667","48.200001","AT","?Wien","exact","1476","tmcZWEm1300a_067a"
"frk09-tmc051117","24","49.833332","UA","?Lvov","exact","557","tmcZWEm1300a_083a"
"frk10-tmc051117","26.566668","41.666668","TR","?Edirne","exact","900","tmcZWEm1300a_089a"
