"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Durham","UK","York","UK","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225","-1.5667","54.7667","www.fallingrain.com","-1.0833","53.9667","www.fallingrain.com","3057","3058","P000","tmcZWEm1300a_001a"
"York","UK","London","UK","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225","-1.0833","53.9667","www.fallingrain.com","-.116667","51.5","4171789","3058","1475","P000","tmcZWEm1300a_002a"
"Worcester","UK","Chipping Campden","UK","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225","-2.2","52.2","www.fallingrain.com","-1.7833","52.0333","www.fallingrain.com","3059","3060","P000","tmcZWEm1300a_003a"
"Chipping Campden","UK","London","UK","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225","-1.7833","52.0333","www.fallingrain.com","-.116667","51.5","4171789","3060","1475","P000","tmcZWEm1300a_004a"
"Bruges","BE","Paris","FR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225","3.2333","51.2167","www.fallingrain.com","2.333333","48.866669","ADL2024067","2702","444","P000","tmcZWEm1300a_005a"
"Paris","FR","loc88-tmc051117 ","FR","?Tours","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225","2.333333","48.866669","ADL2024067",".683333","47.383331","ADL2040805","444","475","P000","tmcZWEm1300a_006a"
"loc88-tmc051117 ","FR","frk01-tmc051117","FR","?Tours;?Poitiers","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225",".683333","47.383331","ADL2040805",".333333","46.583332","ADL2026176","475","449","P000","tmcZWEm1300a_007a"
"frk01-tmc051117","FR","loc78-tmc051117","FR","?Poitiers;?Saintes","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225",".333333","46.583332","ADL2026176","-.633333","45.75","ADL2036347","449","909","P000","tmcZWEm1300a_008a"
"loc78-tmc051117","FR","frk02-tmc051117","FR","?Saintes;?Bordeaux","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225","-.633333","45.75","ADL2036347","-.566667","44.833332","ADL1979638","909","408","P000","tmcZWEm1300a_009a"
"frk02-tmc051117","FR","loc01-tmc051117","ES","?Bordeaux;?Pamplona","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1500","QC4","King 1985:224-225","-.566667","44.833332","ADL1979638","-1.633333","42.816666","ADL3852600","408","1510","P000","tmcZWEm1300a_010a"
