"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"London","UK","Bruges","BE","nkn","msg","sl","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","-.116667","51.5","4171789","3.2333","51.2167","www.fallingrain.com","1475","2702","P000","tmcZWEm1400a_001a"
"Bruges","BE","Troyes","FR","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","3.2333","51.2167","www.fallingrain.com","4.0833","48.3","www.fallingrain.com","2702","2703","P000","tmcZWEm1400a_002a"
"loc04-tmc050601","FR","frk01-tmc050601","FR","?Dijon;?Macon","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26;159","5.016667","47.316666","ADL1990123","4.8333","46.3","www.fallingrain.com","1517","2704","P000","tmcZWEm1400a_003a"
"frk01-tmc050601","FR","Lyons","FR","?Macon","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","4.8333","46.3","www.fallingrain.com","4.85","45.75","ADL2015434","2704","434","P000","tmcZWEm1400a_004a"
"Lyons","FR","Avignon","FR","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","4.85","45.75","ADL2015434","4.816667","43.950001","ADL1975447","434","404","P000","tmcZWEm1400a_005a"
"frk01-tmc050601","FR","Geneva","CH","?Macon","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","4.8333","46.3","www.fallingrain.com","6.166667","46.200001","ADL3989879","2704","423","P000","tmcZWEm1400a_006a"
"Geneva","CH","frk02-tmc050601","CH","?Lausanne","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","6.166667","46.200001","ADL3989879","6.6667","46.5333","www.fallingrain.com","423","2699","P000","tmcZWEm1400a_007a"
"Barcelona","ES","Palma","ES","nkn","msg","sl","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","2.183333","41.383331","ADL3829611","2.65","39.5667","www.fallingrain.com","389","2709","P000","tmcZWEm1400a_008a"
"Palma","ES","Cagliari","IT","nkn","msg","sl","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","2.65","39.5667","www.fallingrain.com","9.1167","39.2167","www.fallingrain.com","2709","2714","P000","tmcZWEm1400a_009a"
"Milan","IT","Verona","IT","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","9.2","45.467","TGN7005903","11","45.45","www.fallingrain.com","927","2729","P000","tmcZWEm1400a_010a"
"Verona","IT","Padua","IT","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","11","45.45","www.fallingrain.com","11.8833","45.4167","www.fallingrain.com","2729","2723","P000","tmcZWEm1400a_011a"
"Padua","IT","Venice","IT","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","11.8833","45.4167","www.fallingrain.com","12.326667","45.43861","ADL 2520567","2723","323","P000","tmcZWEm1400a_012a"
"Venice","IT","Buda ","HU","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","12.326667","45.43861","ADL 2520567","19.05","47.5","TGN7006280","323","925","P000","tmcZWEm1400a_013a"
"Padua","IT","Ferrara","IT","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","11.8833","45.4167","www.fallingrain.com","11.5833","44.8333","www.fallingrain.com","2723","2715","P000","tmcZWEm1400a_014a"
"Ferrara","IT","Bologna","IT","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","11.5833","44.8333","www.fallingrain.com","11.3333","44.4833","www.fallingrain.com","2715","2713","P000","tmcZWEm1400a_015a"
"frk03-tmc050601","IT","Bologna","IT","?Parma","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","10.3333","44.8","www.fallingrain.com","11.3333","44.4833","www.fallingrain.com","2722","2713","P000","tmcZWEm1400a_016a"
"Bologna","IT","Ancona","IT","nkn","msg","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","11.3333","44.4833","www.fallingrain.com","13.5","43.633331","ADL2496274","2713","2","P000","tmcZWEm1400a_017a"
"Ancona","IT","Ragusa","HR","nkn","msg","sl","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","13.5","43.633331","ADL2496274","18.088612","42.650555","ADL2324813","2","920","P000","tmcZWEm1400a_018a"
"Naples","IT","Palermo","IT","nkn","msg","sl","min","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","14.25","40.8333","www.fallingrain.com","13.383","38.133","TGN","2721","120","P000","tmcZWEm1400a_019a"
"Bruges"," ","Paris","FR","nkn","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","3.2333","51.2167","www.fallingrain.com","2.333333","48.866669","ADL2024067","2702","444","P000","tmcZWEm1400a_020a"
"Paris","FR","Troyes","FR","nkn","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","2.333333","48.866669","ADL2024067","4.0833","48.3","www.fallingrain.com","444","2703","P000","tmcZWEm1400a_021a"
"Troyes","FR","loc04-tmc050601","FR","?Dijon","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","4.0833","48.3","www.fallingrain.com","5.016667","47.316666","ADL1990123","2703","1517","P000","tmcZWEm1400a_022a"
"loc04-tmc050601","FR","loc05-tmc050601","FR","?Dijon;?Jougne","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26;159","5.016667","47.316666","ADL1990123","6.4","46.7667","www.fallingrain.com","1517","2731","P000","tmcZWEm1400a_023a"
"loc05-tmc050601","FR","frk02-tmc050601","CH","?Jougne;?Lausanne","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26;159","6.4","46.7667","www.fallingrain.com","6.6667","46.5333","www.fallingrain.com","2731","2699","P000","tmcZWEm1400a_024a"
"frk02-tmc050601","CH","loc06-tmc050601","CH","?Lausanne;?Simplon Pass","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26;159","6.6667","46.5333","www.fallingrain.com","8.166667","46.25","ADL3991949","2699","314","P000","tmcZWEm1400a_025a"
"loc06-tmc050601","CH","Milan","IT","?Simplon Pass","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26;159","8.166667","46.25","ADL3991949","9.2","45.467","TGN7005903","314","927","P000","tmcZWEm1400a_026a"
"Bruges"," ","Cologne","DE","nkn","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","3.2333","51.2167","www.fallingrain.com","6.95","50.933334","ADL2157469","2702","411","P000","tmcZWEm1400a_027a"
"Cologne","DE","loc01-tmc050601","DE","?Mainz","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","6.95","50.933334","ADL2157469","8.25","50","ADL2169521","411","562","P000","tmcZWEm1400a_028a"
"loc01-tmc050601","DE","Basel","CH","?Mainz","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","8.25","50","ADL2169521","7.6","47.566666","ADL3988919","562","406","P000","tmcZWEm1400a_029a"
"Basel","CH","loc02-tmc050601","IT","?Gotthard Pass","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","7.6","47.566666","ADL3988919","8.566667","46.549999","ADL3991698","406","317","P000","tmcZWEm1400a_030a"
"loc02-tmc050601","CH","Milan","IT","?Gotthard Pass","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","8.566667","46.549999","ADL3991698","9.2","45.467","TGN7005903","317","927","P000","tmcZWEm1400a_031a"
"Milan","IT","Alessandria","IT","nkn","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","9.2","45.467","TGN7005903","8.6167","44.9","www.fallingrain.com","927","2700","P000","tmcZWEm1400a_032a"
"Alessandria","IT","Asti","IT","nkn","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","8.6167","44.9","www.fallingrain.com","8.2","44.9","www.fallingrain.com","2700","2701","P000","tmcZWEm1400a_033a"
"Asti","IT","Turin","IT","nkn","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","8.2","44.9","www.fallingrain.com","7.6667","45.05","www.fallingrain.com","2701","2728","P000","tmcZWEm1400a_034a"
"Alessandria","IT","Genoa","IT","nkn","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","8.6167","44.9","www.fallingrain.com","8.95","44.4167","www.fallingrain.com","2700","2718","P000","tmcZWEm1400a_035a"
"Alessandria","IT","Piacenza","IT","nkn","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","8.6167","44.9","www.fallingrain.com","9.6667","45.0167","www.fallingrain.com","2700","2725","P000","tmcZWEm1400a_036a"
"Piacenza","IT","frk03-tmc050601","IT","?Parma","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","9.6667","45.0167","www.fallingrain.com","10.3333","44.8","www.fallingrain.com","2725","2722","P000","tmcZWEm1400a_037a"
"frk03-tmc050601","IT","loc03-tmc050601","IT","?Parma;?Aulla","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","10.3333","44.8","www.fallingrain.com","9.9667","44.2","www.fallingrain.com","2722","2730","P000","tmcZWEm1400a_038a"
"loc03-tmc050601","IT","Lucca","IT","?Aulla","msg","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","1370","1430","QC3","Spufford 2002:26","9.9667","44.2","www.fallingrain.com","10.4833","43.8333","www.fallingrain.com","2730","2720","P000","tmcZWEm1400a_039a"
