"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Asti","8.2","44.9","IT","nkn","exact","2701","tmcZWEm1400a_034a"
"Avignon","4.816667","43.950001","FR","nkn","exact","404","tmcZWEm1400a_049a"
"Barcelona","2.183333","41.383331","ES","nkn","exact","389","tmcZWEm1400a_008a"
"Barletta","16.2833","41.3167","IT","nkn","exact","2712","tmcZWEm1400a"
"Bologna","11.3333","44.4833","IT","nkn","exact","2713","tmcZWEm1400a_015a"
"Bruges","3.2333","51.2167","BE","nkn","exact","2702","tmcZWEm1400a_002a"
"Florence","11.25","43.7667","IT","nkn","exact","2716","tmcZWEm1400a_043a"
"Geneva","6.166667","46.200001","CH","nkn","exact","423","tmcZWEm1400a_006a"
"Genoa","8.95","44.4167","IT","nkn","exact","2718","tmcZWEm1400a_035a"
"London","-.116667","51.5","UK","nkn","exact","1475","tmcZWEm1400a_001a"
"Lucca","10.4833","43.8333","IT","nkn","exact","2720","tmcZWEm1400a_040a"
"Lyons","4.85","45.75","FR","nkn","exact","434","tmcZWEm1400a_005a"
"Milan","9.2","45.467","IT","nkn","exact","927","tmcZWEm1400a_010a"
"Montpellier","3.883333","43.599998","FR","nkn","exact","439","tmcZWEm1400a_049a"
"Naples","14.25","40.8333","IT","nkn","exact","2721","tmcZWEm1400a_019a"
"Palermo","13.383","38.133","IT","nkn","exact","120","tmcZWEm1400a_019a"
"Paris","2.333333","48.866669","FR","nkn","exact","444","tmcZWEm1400a_021a"
"Perugia","12.3667","43.1333","IT","nkn","exact","2724","tmcZWEm1400a"
"Pisa","10.3833","43.7167","IT","nkn","exact","2726","tmcZWEm1400a_041a"
"Rome","12.483333","41.900002","IT","nkn","exact","1441","tmcZWEm1400a_044a"
"Seville","-5.986944","37.37722","ES","nkn","exact","289","tmcZWEm1400a_058a"
"Siena","11.35","43.3167","IT","nkn","exact","2727","tmcZWEm1400a_043a"
"Valencia","-.3667","39.4667","ES","nkn","exact","2707","tmcZWEm1400a_055a"
"Venice","12.326667","45.43861","IT","nkn","exact","323","tmcZWEm1400a_013a"

"Alessandria","8.6167","44.9","IT","nkn","exact","2700","tmcZWEm1400a_032a"
"Alicante","-.4833","38.35","ES","nkn","exact","2706","tmcZWEm1400a_056a"
"Ancona","13.5","43.633331","IT","nkn","exact","2","tmcZWEm1400a_018a"
"Antwerp","4.416667","51.216667","BE","nkn","exact","398","tmcZWEm1400a"
"Basel","7.6","47.566666","CH","nkn","exact","406","tmcZWEm1400a_029a"
"Buda ","19.05","47.5","HU","nkn","exact","925","tmcZWEm1400a_013a"
"Cagliari","9.1167","39.2167","IT","nkn","exact","2714","tmcZWEm1400a_009a"
"Cologne","6.95","50.933334","DE","nkn","exact","411","tmcZWEm1400a_027a"
"Ferrara","11.5833","44.8333","IT","nkn","exact","2715","tmcZWEm1400a_015a"
"frk01-tmc050601","4.8333","46.3","FR","?Macon","exact","2704","tmcZWEm1400a_004a"
"frk02-tmc050601","6.6667","46.5333","CH","?Lausanne ","exact","2699","tmcZWEm1400a_025a"
"frk03-tmc050601","10.3333","44.8","IT","?Parma","exact","2722","tmcZWEm1400a_016a"
"frk04-tmc050601","3","43.183","FR","?Narbonne","exact","109","tmcZWEm1400a_051a"
"frk05-tmc050601","3.3333","46.5667","FR","?Moulins","exact","2750","tmcZWEm1400a_067a"
"Gaeta","13.5833","41.2","IT","nkn","exact","2717","tmcZWEm1400a_046a"
"Lisbon","-9.1333","38.7167","PT","nkn","exact","2705","tmcZWEm1400a_059a"
"loc01-tmc050601","8.25","50","DE","?Mainz","exact","562","tmcZWEm1400a_028a"
"loc02-tmc050601","8.566667","46.549999","IT","?Gotthard Pass","exact","317","tmcZWEm1400a_030a"
"loc03-tmc050601","9.9667","44.2","IT","?Aulla","exact","2730","tmcZWEm1400a_039a"
"loc04-tmc050601","5.016667","47.316666","FR","?Dijon","exact","1517","tmcZWEm1400a_003a"
"loc05-tmc050601","6.4","46.7667","FR","?Jougne","exact","2731","tmcZWEm1400a_024a"
"loc06-tmc050601","8.166667","46.25","CH","?Simplon Pass","exact","314","tmcZWEm1400a_026a"
"loc07-tmc050601","4.816667","43.950001","FR","nkn","exact","404","tmcZWEm1400a_048a"
"loc08-tmc050601",".5167","40.8","ES","?Tortosa","exact","2708","tmcZWEm1400a_054a"
"loc09-tmc050601","-2.45","36.8333","ES","?Almeria","exact","2756","tmcZWEm1400a_056a"
"loc10-tmc050601",".616667","41.616669","ES","?Lerida","exact","867","tmcZWEm1400a_060a"
"loc11-tmc050601","-.883333","41.633331","ES","?Zaragoza ","exact","775","tmcZWEm1400a_062a"
"loc12-tmc050601","-1.6333","41.35","ES","?Calatayud","exact","2753","tmcZWEm1400a_062a"
"loc13-tmc050601","-2.4667","41.7667","ES","?Soria","exact","2754","tmcZWEm1400a_064a"
"loc14-tmc050601","-4.7167","41.65","ES","?Valladolid","exact","2755","tmcZWEm1400a_064a"
"loc15-tmc050601","1.433333","43.599998","FR","?Toulouse ","exact","474","tmcZWEm1400a_066a"
"loc16-tmc050601",
"-.566667","44.833332","FR","?Bordeaux","exact","408","tmcZWEm1400a_066a"
