NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Paris,FR,Orleans,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,2.333333,48.866669,ADL2024067,1.9,47.916668,ADL2023228,444,446,P000,tmcFRm1500a_001a
Clery,FR,Orleans,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,1.75,47.816666,ADL1986797,1.9,47.916668,ADL2023228,1508,446,P000,tmcFRm1500a_002a
Clery,FR,Tours,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,1.75,47.816666,ADL1986797,0.683333,47.383331,ADL2040805,1508,475,P000,tmcFRm1500a_003a
Poitiers,FR,Tours,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,0.333333,46.583332,ADL2026176,0.683333,47.383331,ADL2040805,449,475,P000,tmcFRm1500a_004a
Poitiers,FR,St Jean-d'Angely,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,0.333333,46.583332,ADL2026176,-0.516667,45.950001,ADL2033043,449,1500,P000,tmcFRm1500a_005a
Saintes,FR,St Jean-d'Angely,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-0.633333,45.75,ADL2036347,-0.516667,45.950001,ADL2033043,909,1500,P000,tmcFRm1500a_006a
Saintes,FR,Pons,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-0.633333,45.75,ADL2036347,-0.55,45.583332,ADL2026349,909,908,P000,tmcFRm1500a_007a
Bordeaux,FR,Pons,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-0.566667,44.833332,ADL1979638,-0.55,45.583332,ADL2026349,408,908,P000,tmcFRm1500a_008a
Bordeaux,FR,Orthez,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-0.566667,44.833332,ADL1979638,-0.766667,43.483334,ADL2023350,408,1509,P000,tmcFRm1500a_009a
St Jean-Pied-de-Port,FR,Orthez,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-1.233333,43.166668,ADL2033023,-0.766667,43.483334,ADL2023350,1469,1509,P000,tmcFRm1500a_010a
St Jean-Pied-de-Port,FR,Ronceval,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-1.233333,43.166668,ADL2033023,-1.316677,43.016666,ADL3856990,1469,278,P000,tmcFRm1500a_011a
Ronceval,FR,Pamplona,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-1.316677,43.016666,ADL3856990,-1.633333,42.816666,ADL3852600,278,1510,P000,tmcFRm1500a_012a
Puente la Reina,ES,Pamplona,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-2.033333,42.666668,ADL3839257,-1.633333,42.816666,ADL3852600,381,1510,P000,tmcFRm1500a_013a
Estella,ES,Puente la Reina,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-2.033333,42.666668,ADL3839257,-1.816667,42.666668,ADL3855085,381,363,P000,tmcFRm1500a_014a
Logrono,ES,Estella,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-2.45,42.466667,ADL3846850,-2.033333,42.666668,ADL3839257,376,381,P000,tmcFRm1500a_015a
Logrono,ES,Najera,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-2.45,42.466667,ADL3846850,-2.733333,42.416668,ADL3850832,376,374,P000,tmcFRm1500a_016a
Burgos,ES,Najera,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-3.7,42.349998,ADL3831539,-2.733333,42.416668,ADL3850832,387,374,P000,tmcFRm1500a_017a
Burgos,ES,Villalcazar de Sirga,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-3.7,42.349998,ADL3831539,-4.533333,42.316666,ADL3865098,387,1511,P000,tmcFRm1500a_018a
Carrion de los Condes,ES,Villalcazar de Sirga,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-4.6,42.333332,ADL3833514,-4.533333,42.316666,ADL3865098,385,1511,P000,tmcFRm1500a_019a
Carrion de los Condes,ES,loc03-tmc030512,ES,Leon?,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-4.6,42.333332,ADL3833514,-5.566667,42.599998,ADL3846329,385,377,P000,tmcFRm1500a_020a
Santiago,ES,loc03-tmc030512,ES,Leon?,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-8.55,42.883331,ADL3859484,-5.566667,42.599998,ADL3846329,295,377,P000,tmcFRm1500a_021a
Santiago,ES,El Ferrol,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Sumption 2002:178-179,-8.55,42.883331,ADL3859484,-8.233333,43.483334,ADL3837841,295,1512,P000,tmcFRm1500a_022a
seafrk01-tmc030511,ES,El Ferrol,ES,SW Corunna;SE El Ferrorl;NE sea02-tmc030511,plg,sl,maj,A001,B001,C001,Santiago,d000dd,shp,t000t,1000,1500,QC3,Sumption 2002:178-179,-8.47802541,43.52327765,OWT,-8.233333,43.483334,ADL3837841,1518,1512,P000,tmcFRm1500a_023a
seafrk01-tmc030511,ES,Corunna,ES,SW Corunna;SE El Ferrorl;NE seafrk02-tmc030511,plg,sl,maj,A001,B001,C001,Santiago,d000dd,shp,t000t,1000,1500,QC3,Sumption 2002:178-179,-8.47802541,43.52327765,OWT,-8.383333,43.366669,ADL3843987,1518,390,P000,tmcFRm1500a_024a
seafrk01-tmc030511,ES,seafrk02-tmc030511,FR,SW Corunna;SE El Ferrorl;NE seafrk02-tmc030511; SW seafrk01-tmc030511;SE Talmont; NE Southampton,plg,sl,maj,A001,B001,C001,Santiago,d000dd,shp,t000t,1000,1500,QC3,Sumption 2002:178-179,-8.47802541,43.52327765,OWT,-5.52634234,48.31352545,OWT,1518,1519,P000,tmcFRm1500a_025a
Talmont,FR,seafrk02-tmc030511,FR,SW seafrk01-tmc030511;SE Talmont; NE Southampton,plg,sl,maj,A001,B001,C001,Santiago,d000dd,shp,t000t,1000,1500,QC3,Sumption 2002:178-179,-0.9,45.533333,ADL2039484,-5.52634234,48.31352545,OWT,472,1519,P000,tmcFRm1500a_026a
