NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Paris,FR,Orleans,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,2.333333,48.866669,ADL2024067,1.9,47.916668,ADL2023228,444,446,P000,tmcFRm1500_001a
Tours,FR,Orleans,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,0.683333,47.383331,ADL2040805,1.9,47.916668,ADL2023228,475,446,P000,tmcFRm1500_002a
Tours,FR,Poitiers,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,0.683333,47.383331,ADL2040805,0.333333,46.583332,ADL2026176,475,449,P000,tmcFRm1500_003a
St-Jean d'Angely,FR,Poitiers,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-0.516667,45.950001,ADL2033043,0.333333,46.583332,ADL2026176,1500,449,P000,tmcFRm1500_004a
St-Jean d'Angely,FR,Saintes,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-0.516667,45.950001,ADL2033043,-0.633333,45.75,ADL2036347,1500,909,P000,tmcFRm1500_005a
Chartres,FR,Tours,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,1.5,48.450001,ADL1984901,0.683333,47.383331,ADL2040805,410,475,P000,tmcFRm1500_006a
Saintes,FR,Blaye,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-0.633333,45.75,ADL2036347,-0.666667,45.133331,ADL1978912,909,1501,P000,tmcFRm1500_007a
Bordeaux,FR,loc01-tmc030511,FR,Cubzac-les-Ponts?,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-0.566667,44.833332,ADL1979638,-0.45,44.966667,ADL1989292,408,1534,P000,tmcFRm1500_008a
Bordeaux,FR,Ostabat,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-0.566667,44.833332,ADL1979638,-1.066667,43.25,ADL2023435,408,362,P000,tmcFRm1500_009a
Roncevaux,ES,Ostabat,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-1.316677,43.016666,ADL3856990,-1.066667,43.25,ADL2023435,278,362,P000,tmcFRm1500_010a
Puente la Reina,ES,Somport,FR,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-1.816667,42.666668,ADL3855085,-0.516667,42.799999,ADL3860609,363,365,P000,tmcFRm1500_011a
Roncevaux,ES,Puente la Reina,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-1.316677,43.016666,ADL3856990,-1.816667,42.666668,ADL3855085,278,363,P000,tmcFRm1500_012a
Burgos,ES,Puente la Reina,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-3.7,42.349998,ADL3831539,-1.816667,42.666668,ADL3855085,387,363,P000,tmcFRm1500_013a
Burgos,ES,Leon,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-3.7,42.349998,ADL3831539,-5.566667,42.599998,ADL3846329,387,377,P000,tmcFRm1500_014a
Villafranca,ES,Leon,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-6.8,42.599998,ADL3864974,-5.566667,42.599998,ADL3846329,367,377,P000,tmcFRm1500_015a
Villafranca,ES,Santiago de Compostela,ES,nkn,plg,cd,maj,A001,B001,C001,Santiago,d000dd,wlk,t000t,1000,1500,QC3,Zarnecki 1985:52,-6.8,42.599998,ADL3864974,-8.55,42.883331,ADL3859484,367,295,P000,tmcFRm1500_016a
