NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
Adana,35.3289,37.0167,TR,nkn,exact,2074,tmcZMEm1300_010a
Aden,44.8825,12.748333,YE,nkn,exact,853,tmcZMEm1300_026a
Aksu,80.23333,41.25,CN,nkn,exact,174,tmcZMEm1300_124a
Aleppo,37.166668,36.200001,SY,nkn,exact,231,tmcZMEm1300_043a
Alexandria,31.25,30.05,EG,nkn ,exact,871,tmcZMEm1300_034a
Amman,35.933,31.95,JO,nkn,exact,13,tmcZMEm1300_018a
An Najaf,44.3514,31.9922,IQ,nkn,exact,2390,tmcZMEm1300_045a
Ankara,32.866669,39.933334,TR,nkn,exact,769,tmcZMEm1300_009a
Antakya,36.116669,36.233334,TR,nkn,exact,1,tmcZMEm1300_011a
Ardestan,52.375,33.3725,IR,nkn,exact,2090,tmcZMEm1300_104a
Ash Shihr,49.6069,14.7608,YE,nkn,exact,2389,tmcZMEm1300_056a
Astrakhan,48.049168,46.349445,RU,nkn,exact,274,tmcZMEm1300_112a
Aydhab,36.650002,22.233334,SD,nkn,exact,798,tmcZMEm1300_032a
Baghdad,44.39389,33.338612,IQ,nkn,exact,1635,tmcZMEm1300_045a
Bam,58.361942,29.107779,IR,nkn,exact,664,tmcZMEm1300_109a
Bandar Abbas,56.261944,27.218611,IR,nkn,exact,635,tmcZMEm1300_081a
Basra,47.819168,30.494167,IQ,nkn,exact,619,tmcZMEm1300_066a
Beirut,35.509724,33.871944,LB,nkn,exact,29,tmcZMEm1300_039a
Birjand,59.2144,32.8739,IR,nkn,exact,2402,tmcZMEm1300_106a
Bombay,72.8258,18.975,IN,nkn,exact,2408,tmcZMEm1300_089a
Bukhara,64.416664,39.799999,UZ,nkn,exact,232,tmcZMEm1300_116a
Bushire,50.8381,28.975,IR,nkn,exact,2387,tmcZMEm1300_065a
Cairo,31.25,30.05,EG,nkn,exact,871,tmcZMEm1300_033a
Calcutta,88.3697,22.5697,IN,nkn,exact,871,tmcZMEm1300_149a
Cambay,72.65,22.317,IN,nkn,exact,811,tmcZMEm1300_087a
Charchan,85.533333,38.133331,CN,nkn,exact,697,tmcZMEm1300_130a
Cochin,76.2333,9.9667,IN,nkn,exact,2409,tmcZMEm1300_058a
Cuttack,85.8333,20.5,IN,nkn,exact,2410,tmcZMEm1300_097a
Damascus,36.299999,33.5,SY,nkn,exact,48,tmcZMEm1300_018a
Damghan,54.349167,36.171112,IR,nkn,exact,44,tmcZMEm1300_098a
Delhi,77.217,28.667,IN,nkn,exact,814,tmcZMEm1300_146a
Dhufar,54.45,17.0333,OM,nkn,exact,104,tmcZMEm1300_053a
Edirne,26.566668,41.666668,TR,nkn,exact,900,tmcZMEm1300_002a
Erzurum,41.283333,39.916668,TR,nkn,exact,238,tmcZMEm1300_014a
Ghazni,68.416664,33.549999,AF,nkn,exact,514,tmcZMEm1300_140a
Hama,36.75,35.1333,SY,nkn,exact,2386,tmcZMEm1300_016a
Hamadan,48.583,34.767,IR,nkn,exact,59,tmcZMEm1300_074a
Herat,62.2,34.333,AF,nkn,exact,60,tmcZMEm1300_136a
Isfahan,51.672501,32.655277,IR,nkn,exact,644,tmcZMEm1300_068a
Istanbul,28.966667,41.016666,TR,nkn,exact,71,tmcZMEm1300_002a
Izmit,29.917,40.783,TR,nkn,exact,74,tmcZMEm1300_003a
Jam,64.4833,34.35,AF,nkn,exact,2419,tmcZMEm1300_135a
Jask,57.7722,25.6422,IR,nkn,exact,2405,tmcZMEm1300_111a
Jiddah,39.200001,21.483334,SA,nkn,exact,743,tmcZMEm1300_031a
Kabul,69.183,34.517,AF,nkn,exact,75,tmcZMEm1300_135a
Kandahar,65.717,31.617,AF,nkn,exact,131,tmcZMEm1300_139a
Karachi,67.05,24.8667,IR,nkn,exact,2407,tmcZMEm1300_085a
Kashan,51.447498,33.983612,IR,nkn,exact,668,tmcZMEm1300_069a
Kashgar,76.033,39.483,CN,nkn,exact,77,tmcZMEm1300_123a
Kermanshah,47.067,34.317,IR,nkn,exact,21,tmcZMEm1300_074a
Khiva,60.366669,41.400002,UZ,nkn,exact,80,tmcZMEm1300_114a
Khotan,79.9166,37.1166,CN,nkn,exact,68,tmcZMEm1300_129a
Kokand,70.949997,40.5,UZ,nkn,exact,219,tmcZMEm1300_122a
Konya,32.516666,37.866669,TR,nkn,exact,770,tmcZMEm1300_009a
Kucha,82.900002,41.716667,CN,nkn,exact,89,tmcZMEm1300_125a
Kunya Urgench,59.166668,42.316666,TM,nkn,exact,643,tmcZMEm1300_113a
Lahore,74.312775,31.571388,PK,nkn,exact,555,tmcZMEm1300_143a
loc01-tmc050418,35,29.517,JO,?Aqaba,exact,7,tmcZMEm1300_020a
loc02-tmc050418,39.0322,22.7986,SA,?Rabigh,exact,2395,tmcZMEm1300_022a
loc03-tmc050418,42.3667,34.0833,IQ,?Hawijat Arban,exact,2392,tmcZMEm1300_041a
loc04-tmc050418,43.9797,26.0956,SA,?Unayzah,exact,2397,tmcZMEm1300_048a
loc05-tmc050418,49.6989,36.0625,IR,?Takestan,exact,2393,tmcZMEm1300_073a
loc06-tmc050418,44.0842,39.5469,IR,?Dogubayazit,exact,239,tmcZMEm1300_078a
loc07-tmc050418,51.883331,47.116669,KZ,?Atyrau,exact,624,tmcZMEm1300_113a
loc08-tmc050418,61.6667,46.8,KZ,?Aral'sk,exact,2423,tmcZMEm1300_120a
Madras,80.2833,13.0833,IN,nkn,exact,2412,tmcZMEm1300_093a
Mangalore,74.8833,12.8667,IN,nkn,exact,2411,tmcZMEm1300_095a
Mashhad,59.59861,36.305,IR,nkn,exact,98,tmcZMEm1300_100a
Mazar-i-Sharif,67.099998,36.700001,AF,nkn,exact,1077,tmcZMEm1300_133a
Mecca,39.816666,21.450001,SA,nkn,exact,742,tmcZMEm1300_024a
Medina,39.614166,24.468611,SA,nkn,exact,767,tmcZMEm1300_046a
Merv,62.166668,37.616669,TM,nkn,exact,620,tmcZMEm1300_116a
Miran,88.833336,39.25,CN,nkn,exact,103,tmcZMEm1300_131a
Multan,71.48333,30.183332,PK,nkn,exact,105,tmcZMEm1300_145a
Muscat,58.5933,23.6133,OM,nkn,exact,2398,tmcZMEm1300_050a
Nayin,53.0906,32.8619,IR,nkn,exact,2404,tmcZMEm1300_103a
Neyriz,54.3264,29.1986,IR,nkn,exact,2403,tmcZMEm1300_109a
Neyshabur,58.817,36.217,IR,nkn,exact,111,tmcZMEm1300_099a
Niya,82.76667,37.066666,CN,nkn,exact,222,tmcZMEm1300_129a
Panjim,73.8333,15.4833,IN,nkn,exact,2413,tmcZMEm1300_089a
Peshawar,71.550003,34.016666,PK,nkn,exact,224,tmcZMEm1300_142a
Petra,35.433334,30.333332,JO,nkn,exact,123,tmcZMEm1300_019a
Qazvin,50.016945,36.262222,IR,nkn,exact,125,tmcZMEm1300_071a
Raqqa,39.0167,35.95,IQ,nkn,exact,2388,tmcZMEm1300_042a
Riyadh,46.7728,24.6408,SA,nkn,exact,2394,tmcZMEm1300_050a
Samarqand,66.95,39.667,UZ,nkn,exact,141,tmcZMEm1300_119a
San'a,44.2067,15.3547,YE,nkn,exact,2089,tmcZMEm1300_026a
Sasaram,84.0333,24.95,IN,nkn,exact,2422,tmcZMEm1300_148a
sealoc01-tmc050418,25.69548,33.78335,EG,W Mediterranean,approx,2439,tmcZMEm1300_035a
sealoc02-tmc050418,30.60695,34.7083,CY,E Mediterranean,approx,2440,tmcZMEm1300_037a
sealoc03-tmc050418,31.723,42.1649,TR,N.of Turkey,approx,2455,tmcZMEm1300_004a
sealoc04-tmc050418,37.3439,42.0189,TR,N.of Turkey,approx,2456,tmcZMEm1300_007a
sealoc05-tmc050418,38.81067,19.17048,SD,Red Sea,approx,2438,tmcZMEm1300_029a
sealoc07-tmc050418,51.20412,5.02679,SO,route to E. Africa,approx,2442,tmcZMEm1300_059a
sealoc08-tmc050418,47.23008,12.53161,YE,W Indian Ocean,approx,2441,tmcZMEm1300_057a
sealoc09-tmc050418,52.4378,14.8491,YE,S of Yemen,approx,2445,tmcZMEm1300_054a
sealoc10-tmc050418,58.1626,17.9518,OM,S of Oman,approx,2446,tmcZMEm1300_053a
sealoc11-tmc050418,60.7656,22.2091,OM,E of Oman ,approx,2447,tmcZMEm1300_051a
sealoc12-tmc050418,56.9802,25.6004,IR,S of Iran,approx,2457,tmcZMEm1300_060a
sealoc13-tmc050418,54.1631,25.8891,IR,Persian Gulf; S of Iran,approx,2448,tmcZMEm1300_062a
sealoc14-tmc050418,51.0536,27.7651,IR,Persian Gulf; W of Iran,approx,2449,tmcZMEm1300_064a
sealoc15-tmc050418,62.2888,24.5181,IR,S of Pakistan,approx,2450,tmcZMEm1300_084a
sealoc16-tmc050418,70.6757,20.1165,IR,W of India,approx,2451,tmcZMEm1300_086a
sealoc17-tmc050418,73.3375,12.1072,IN,W of Goa,approx,2452,tmcZMEm1300_090a
sealoc18-tmc050418,77.72487,7.5284,IN,W of Ceylon,approx,2443,tmcZMEm1300_092a
sealoc19-tmc050418,80.323,10.1589,IN,N tip of Ceylon,approx,2453,tmcZMEm1300_093a
sealoc20-tmc050418,84.01898,16.65307,IN,E of India,approx,2454,tmcZMEm1300_094a
Shiraz,52.538612,29.615,IR,nkn,exact,642,tmcZMEm1300_067a
Sinop,35.150002,42.016666,TR,nkn,exact,715,tmcZMEm1300_006a
Siraf,52.361389,27.686111,IR,nkn,exact,633,tmcZMEm1300_062a
Sivas,37.033333,39.75,TR,nkn,exact,717,tmcZMEm1300_013a
Sofia,23.316668,42.683334,BG,nkn,exact,901,tmcZMEm1300_001a
Suez,32.55,29.9667,EG,nkn,exact,2391,tmcZMEm1300_032a
Surat,72.833336,21.166668,IN,nkn,exact,835,tmcZMEm1300_087a
Tabas,56.9225,33.5883,IR,nkn,exact,2406,tmcZMEm1300_102a
Tabriz,46.291943,38.080002,IR,nkn,exact,240,tmcZMEm1300_076a
Tashkent,69.3,41.333,UZ,nkn,exact,162,tmcZMEm1300_122a
Tbilisi,44.784443,41.717777,GE,nkn,exact,581,tmcZMEm1300_080a
Tehran,51.4244,35.6719,IR,nkn,exact,2164,tmcZMEm1300_098a
Termez,67.26667,37.233334,UZ,nkn,exact,532,tmcZMEm1300_133a
Trabzon,39.716667,41,TR,nkn,exact,168,tmcZMEm1300_015a
Turfan,89.1,42.917,CN,nkn,exact,170,tmcZMEm1300_126a
Varanasi,83,25.333332,IN,nkn,exact,809,tmcZMEm1300_147a
Yarkand,77.267,38.45,CN,nkn,exact,149,tmcZMEm1300_127a
Yazd,54.3675,31.897223,IR,nkn,exact,70,tmcZMEm1300_103a
Yerevan,44.5,40.183334,AM,nkn,exact,582,tmcZMEm1300_079a
Zahedan,60.87278,29.497778,IR,nkn,exact,665,tmcZMEm1300_108a
