"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Antwerp","4.416667","51.216667","BE","nkn","exact","398","tmcZCEm1500_045a"
"Augsburg","10.8833","48.3667","DE","nkn","exact","2795","tmcZCEm1500_017a"
"Basel","7.6","47.566666","CH","nkn","exact","406","tmcZCEm1500_007a"
"Berlin","13.4","52.516666","DE","nkn","exact","1472","tmcZCEm1500_062a"
"Braunschweig","10.5333","52.2667","DE","nkn","exact","2797","tmcZCEm1500_041a"
"Bremen","8.8","53.0833","DE","nkn","exact","2796","tmcZCEm1500_058a"
"Brno","16.633333","49.200001","CZ","nkn","exact","342","tmcZCEm1500_099a"
"Bruges","3.2333","51.2167","BE","nkn","exact","2702","tmcZCEm1500_003a"
"Buda","19.0333","47.5","HU","nkn","exact","2459","tmcZCEm1500_154a"
"Cologne","6.95","50.933334","DE","nkn","exact","411","tmcZCEm1500_032a"
"Constance","9.1833","47.6667","DE","nkn","exact","2816","tmcZCEm1500_009a"
"Cracow","19.916668","50.083332","PL","nkn","exact","343","tmcZCEm1500_139a"
"Danzig","18.666668","54.349998","PL","nkn","exact","331","tmcZCEm1500_125a"
"Erfurt","11.033333","50.983334","DE","nkn","exact","1442","tmcZCEm1500_036a"
"Frankfurt","8.683333","50.116669","DE","nkn","exact","564","tmcZCEm1500_031a"
"Frankfurt","14.55","52.349998","DE","nkn","exact","1088","tmcZCEm1500_096a"
"frk01-tmc050615","11","45.45","IT","?Verona","exact","2729","tmcZCEm1500_011a"
"frk02-tmc050615","10.9833","48.2667","DE","?Mering","exact","2807","tmcZCEm1500_024a"
"frk03-tmc050615","13.8558","46.6103","AT","?Villach","exact","2823","tmcZCEm1500_025a"
"frk04-tmc050615","15.2833","47.4167","AT","?Bruck","exact","2827","tmcZCEm1500_027a"
"frk05-tmc050615","13.366667","49.75","CZ","?Pilsen","exact","856","tmcZCEm1500_035a"
"frk06-tmc050615","3.7167","51.05","BE","?Ghent","exact","2793","tmcZCEm1500_043a"
"frk07-tmc050615","5.8667","51.8333","DE","?Nijmegen","exact","2829","tmcZCEm1500_091a"
