"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Paris","FR","xrd01-tmc050615","BE","?Namur","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","2.333333","48.866669","ADL2024067","4.8667","50.4667","www.fallingrain.com","444","2794","P000","tmcZCEm1500_001a"
"Paris","FR","Metz","FR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","2.333333","48.866669","ADL2024067","6.166667","49.133331","ADL2018285","444","435","P000","tmcZCEm1500_002a"
"Bruges","BE","xrd01-tmc050615","BE","?Namur","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","3.2333","51.2167","www.fallingrain.com","4.8667","50.4667","www.fallingrain.com","2702","2794","P000","tmcZCEm1500_003a"
"Metz","FR","Strassburg","FR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","6.166667","49.133331","ADL2018285","7.75","48.5833","www.fallingrain.com","435","2791","P000","tmcZCEm1500_004a"
"Metz","FR","xrd02-tmc050615","DE","?Saarbrucken","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","6.166667","49.133331","ADL2018285","7","49.2333","www.fallingrain.com","435","2812","P000","tmcZCEm1500_005a"
"Genoa","IT","Milan","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","8.95","44.4167","www.fallingrain.com","9.2","45.467","TGN7005903","2718","927","P000","tmcZCEm1500_006a"
"Milan","IT","Basel","CH","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","9.2","45.467","TGN7005903","7.6","47.566666","ADL3988919","927","406","P000","tmcZCEm1500_007a"
"Basel","CH","Strassburg","FR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","7.6","47.566666","ADL3988919","7.75","48.5833","www.fallingrain.com","406","2791","P000","tmcZCEm1500_008a"
"Basel","CH","Constance","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","7.6","47.566666","ADL3988919","9.1833","47.6667","www.fallingrain.com","406","2816","P000","tmcZCEm1500_009a"
"Constance","DE","Milan","IT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","9.1833","47.6667","www.fallingrain.com","9.2","45.467","TGN7005903","2816","927","P000","tmcZCEm1500_010a"
"Milan","IT","frk01-tmc050615","IT","?Verona","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","9.2","45.467","TGN7005903","11","45.45","www.fallingrain.com","927","2729","P000","tmcZCEm1500_011a"
"frk01-tmc050615","IT","Venice","IT","?Verona","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","11","45.45","www.fallingrain.com","12.326667","45.43861","ADL 2520567","2729","323","P000","tmcZCEm1500_012a"
"frk01-tmc050615","IT","Innsbruck","AT","?Verona","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","11","45.45","www.fallingrain.com","11.4","47.2667","www.fallingrain.com","2729","2822","P000","tmcZCEm1500_013a"
"Innsbruck","AT","Salzburg","AT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","11.4","47.2667","www.fallingrain.com","13.033333","47.799999","ADL1229120","2822","320","P000","tmcZCEm1500_014a"
"Innsbruck","AT","Constance","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","11.4","47.2667","www.fallingrain.com","9.1833","47.6667","www.fallingrain.com","2822","2816","P000","tmcZCEm1500_015a"
"Innsbruck","AT","frk02-tmc050615","DE","?Mering","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","11.4","47.2667","www.fallingrain.com","10.9833","48.2667","www.fallingrain.com","2822","2807","P000","tmcZCEm1500_016a"
"Augsburg","DE","Ulm","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","10.8833","48.3667","www.fallingrain.com","10","48.4","www.fallingrain.com","2795","2813","P000","tmcZCEm1500_017a"
"Ulm","DE","Strassburg","FR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","10","48.4","www.fallingrain.com","7.75","48.5833","www.fallingrain.com","2813","2791","P000","tmcZCEm1500_018a"
"loc01-tmc050615","FR","Strassburg","FR","?Orleans","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","1.9","47.916668","ADL2023228","7.75","48.5833","www.fallingrain.com","446","2791","P000","tmcZCEm1500_019a"
"Salzburg","AT","Regensburg","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","13.033333","47.799999","ADL1229120","12.1","49.016666","ADL2194357","320","339","P000","tmcZCEm1500_020a"
"Regensburg","DE","Linz","AT","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1490","1510","QC3","Davies & Moorhouse 2003:510","12.1","49.016666","ADL2194357","14.3","48.299999","ADL1223296","339","344","P000","tmcZCEm1500_021a"
