"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Bialogard","16","54","PL","nkn","exact","1122","tmcPLm1150_001a"
"Branszczyk","21.6","52.633331","PL","nkn","exact","1123","tmcPLm1150_003a"
"Brzesc","23.700001","52.099998","BU","nkn","exact","1124","tmcPLm1150_005a"
"Budziszyn","14.433333","51.183334","DE","nkn","exact","1125","tmcPLm1150_007a"
"Bytom","18.966667","50.349998","PL","nkn","exact","1083","tmcPLm1150_009a"
"Chociebuz","14.333333","51.766666","DE","nkn","exact","1129","tmcPLm1150_013a"
"Cieszyn","18.6","49.766666","PL","nkn","exact","1128","tmcPLm1150_014a"
"Chelmno","18.433332","53.349998","PL","nkn","exact","1085","tmcPLm1150_011a"
"Czerwien","23.700001","50.666668","PL","mod Czermno ","exact","1130","tmcPLm1150_016a"
"Drohiczyn","22.65","52.400002","PL","nkn","exact","1127","tmcPLm1150_018a"
"frk01-tmc020202","21.066668","52.516666","PL","Serock","exact","1131","tmcPLm1150_021a"
"frk02-tmc020202","22.233334","50.916668","PL","Krasnik","exact","1133","tmcPLm1150_016a"
"frk03-tmc020202","22.85","52.733334","PL","Bransk","exact","1126","tmcPLm1150_148a"
"frk04-tmc020202","18.766666","54.049999","PL","Czarlin","exact","1132","tmcPLm1150_022a"
"frk05-tmc020202","16.75","53.150002","PL","Pila","exact","1134","tmcPLm1150_001a"
"frk06-tmc020202","16.200001","51.400002","PL","Lubin","exact","1135","tmcPLm1150_023a"
"frk07-tmc020202","20.833332","49.966667","PL","Wojnicz","exact","1136","tmcPLm1150_027a"
"frk08-tmc020202","20.299999","50.633331","PL","Jedrzejow","exact","1137","tmcPLm1150_025a"
"frk09-tmc020202","15.916667","50.366669","CZ","Jaromer","exact","1138","tmcPLm1150_030a"
"frk10-tmc020202","17.966667","50.483334","CZ","Krapkowice","exact","1139","tmcPLm1150_028a"
"frk11-tmc020202","20.033333","50.366669","PL","Miechow","exact","1140","tmcPLm1150_025a"
"frk12-tmc020202","18","53.150002","PL","Bydgoszcz","exact","1030","tmcPLm1150_040a"
"frk13-tmc020202","19.683332","51.400002","PL","Piotrkow Trybunalski","exact","1098","tmcPLm1150_032a"
"frk14-tmc020202","15.2","52.7","PL","Gorzow","exact","1141","tmcPLm1150_053a"
"frk15-tmc020202","18.5","52.033333","PL","Turek","exact","1142","tmcPLm1150_094a"
"frk16-tmc020202","21.966667","51.416668","PL","Pulawy","exact","1143","tmcPLm1150_027a"
"frk17-tmc020202","19.933332","49.983334","PL","Swoszowice","exact","1144","tmcPLm1150_028a"
"frk18-tmc020202","17.299999","49.733334","CZ","Sternberg","exact","1145","tmcPLm1150_054a"
"frk19-tmc020202","17.383333","51.200001","PL","Olesnica","exact","1146","tmcPLm1150_029a"
"frk20-tmc020202","19.883333","51.083332","PL","Przedborz","exact","1147","tmcPLm1150_086a"
"frk21-tmc020202","14.666667","53.400002","PL","Dabie","exact","1148","tmcPLm1150_004a"
"frk22-tmc020202","21.9","52.799999","PL","Ostrow Mazowiecki","exact","1149","tmcPLm1150_030a"
"frk23-tmc020202","16.5","50.849998","PL","Swidnica","exact","1150","tmcPLm1150_032a"
"frk24-tmc020202","20.183332","51.25","PL","Zarnow","exact","1151","tmcPLm1150_035a"
"Gdansk","18.666668","54.349998","PL","nkn","exact","331","tmcPLm1150_036a"
"Glogow","16.1","51.666668","PL","nkn","exact","1152","tmcPLm1150_038a"
"Gniezno","17.6","52.549999","PL","nkn","exact","1154","tmcPLm1150_040a"
"Grodziec","20.866667","51.866669","PL","nkn","exact","1155","tmcPLm1150_044a"
"Inowlodz","20.216667","51.533333","PL","nkn","exact","1156","tmcPLm1150_047a"
"Jaroslaw","22.683332","50.016666","PL","nkn","exact","848","tmcPLm1150_050a"
"Kalisz","18.083332","51.75","PL","nkn","exact","1119","tmcPLm1150_053a"
"Kamien","14.783333","53.966667","PL","nkn","exact","1157","tmcPLm1150_058a"
"Kielce","20.666668","50.833332","PL","nkn","exact","1158","tmcPLm1150_059a"
"Klodzko","16.65","50.433334","PL","nkn","exact","1028","tmcPLm1150_061a"
"Kolobrzeg","15.583333","54.183334","PL","nkn","exact","1159","tmcPLm1150_063a"
"Konin","18.266666","52.216667","PL","nkn","exact","863","tmcPLm1150_064a"
"Kopanica","13.566667","52.450001","DE","nkn","exact","1160","tmcPLm1150_067a"
