"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Bialogard","PL","frk05-tmc020202","PL","mod Pila","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","16","54","ADL3268405","16.75","53.150002","ADL3296831","1122","1134","P000","tmcPLm1150_001a"
"Bialogard","PL","xrd04-tmc020202","PL","mod Karlino","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","16","54","ADL3268405","15.866667","54.033333","ADL3281922","1122","1205","P000","tmcPLm1150_002a"
"Branszczyk","PL","frk01-tmc020202","PL","mod Serock","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","21.6","52.633331","ADL3270042","21.066668","52.516666","ADL3302459","1123","1131","P000","tmcPLm1150_003a"
"Branszczyk","PL","frk22-tmc020202","PL","mod Ostrow Mazowiecki","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","21.6","52.633331","ADL3270042","21.9","52.799999","ADL3295411","1123","1149","P000","tmcPLm1150_004a"
"Brzesc","BU","Drohiczyn","PL","nkn","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","23.700001","52.099998","ADL1387156","22.65","52.400002","ADL3275003","1124","1127","P000","tmcPLm1150_005a"
"Brzesc","BU","xrd01-tmc020202","PL","mod Hrubieszow","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","23.700001","52.099998","ADL1387156","23.916668","50.799999","ADL3279125","1124","1203","P000","tmcPLm1150_006a"
"Budziszyn","DE","Misnia","DE","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","14.433333","51.183334","ADL2092321","13.483333","51.150002","ADL2171593","1125","1166","P000","tmcPLm1150_007a"
"Budziszyn","DE","Zgorzelec","DE","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","14.433333","51.183334","ADL2092321","15","51.166668","ADL2125340","1125","1189","P000","tmcPLm1150_008a"
"Bytom","PL","Krakow","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.966667","50.349998","ADL3271443","19.916668","50.083332","ADL3285585","1083","343","P000","tmcPLm1150_009a"
"Bytom","PL","Opole","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.966667","50.349998","ADL3271443","17.950001","50.666668","ADL3294918","1083","1097","P000","tmcPLm1150_010a"
"Chelmno","PL","Swiecie","PL","nkn","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.433332","53.349998","ADL3271717","18.450001","53.416668","ADL3306353","1085","1196","P000","tmcPLm1150_011a"
"Chelmno","PL","Wloclawek","PL","nkn","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.433332","53.349998","ADL3271717","19.033333","52.650002","ADL3310864","1085","1188","P000","tmcPLm1150_012a"
"Chociebuz","DE","Krosno","PL","nkn","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","14.333333","51.766666","ADL2104434","15.083333","52.049999","ADL3285966","1129","1214","P000","tmcPLm1150_013a"
"Cieszyn","PL","Oswiecim","PL","nkn","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.6","49.766666","ADL3272636","19.233334","50.033333","ADL3295604","1128","1170","P000","tmcPLm1150_014a"
"Cieszyn","PL","Raciborz","PL","nkn","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.6","49.766666","ADL3272636","18.200001","50.083332","ADL3299658","1128","1174","P000","tmcPLm1150_015a"
"Czerwien","PL","frk02-tmc020202","PL","mod Czermno; mod Krasnik","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","23.700001","50.666668","ADL3273243","22.233334","50.916668","ADL3285688","1130","1133","P000","tmcPLm1150_016a"
"Czerwien","PL","xrd01-tmc020202","PL","mod Czermno; mod Hrubieszow","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","23.700001","50.666668","ADL3273243","23.916668","50.799999","ADL3279125","1130","1203","P000","tmcPLm1150_017a"
"Drohiczyn","PL","frk03-tmc020202","PL","mod Bransk","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","22.65","52.400002","ADL3275003","22.85","52.733334","ADL3270037","1127","1126","P000","tmcPLm1150_018a"
"Drohiczyn","PL","frk22-tmc020202","PL","mod Ostrow Mazowiecki","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","22.65","52.400002","ADL3275003","21.9","52.799999","ADL3295411","1127","1149","P000","tmcPLm1150_019a"
"frk01-tmc020202","PL","loc01-tmc020202","PL","mod Serock; mod Ostroleka","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","21.066668","52.516666","ADL3302459","21.566668","53.083332","ADL3295390","1131","1192","P000","tmcPLm1150_020a"
"frk01-tmc020202","PL","Pomiechow","PL","mod Serock","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","21.066668","52.516666","ADL3302459","20.63334","52.43334","Owtrad est.","1131","1172","P000","tmcPLm1150_021a"
"frk04-tmc020202","PL","xrd02-tmc020202","PL","mod Czarlin; mod Starogard","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.766666","54.049999","ADL3272910","18.549999","53.966667","ADL3304930","1132","1183","P000","tmcPLm1150_022a"
"frk06-tmc020202","PL","xrd03-tmc020202","PL","mod Lubin; mod Prochowice","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","16.200001","51.400002","ADL289267","16.366667","51.283333","ADL3298701","1135","1204","P000","tmcPLm1150_023a"
"frk06-tmc020202","PL","xrd05-tmc020202","PL","mod Lubin; mod Klobuczyn","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","16.200001","51.400002","ADL289267","15.916667","51.616669","ADL3282937","1135","1206","P000","tmcPLm1150_024a"
"frk11-tmc020202","PL","frk08-tmc020202","PL","mod Miechow; mod Jedrzejow","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","20.033333","50.366669","ADL3291139","20.299999","50.633331","ADL3280635","1140","1137","P000","tmcPLm1150_025a"
"frk11-tmc020202","PL","qrd01-tmc020202","PL","mod Miechow; mod Radomsko","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","20.033333","50.366669","ADL3291139","19.450001","51.066666","ADL3299806","1140","1173","P000","tmcPLm1150_026a"
"frk17-tmc020202","PL","frk07-tmc020202","PL","mod Swoszowice; mod Wojnicz","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","19.933332","49.983334","ADL3306597","20.833332","49.966667","ADL3311056","1144","1136","P000","tmcPLm1150_027a"
"frk18-tmc020202","CZ","frk10-tmc020202","CZ","mod Sternberg; mod Krapkowice","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","17.299999","49.733334","ADL1916744","17.966667","50.483334","ADL3285604","1145","1139","P000","tmcPLm1150_028a"
"frk20-tmc020202","PL","qrd01-tmc020202","PL","mod Przedborz; mod Radomsko","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","19.883333","51.083332","ADL3298881","19.450001","51.066666","ADL3299806","1147","1173","P000","tmcPLm1150_029a"
"frk23-tmc020202","PL","frk09-tmc020202","CZ","mod Swidnica; mod Jaromer","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","16.5","50.849998","ADL3306288","15.916667","50.366669","ADL1907430","1150","1138","P000","tmcPLm1150_030a"
"frk23-tmc020202","PL","xrd10-tmc020202","PL","mod Swidnica; mod Zabkowice","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","16.5","50.849998","ADL3306288","16.799999","50.583332","ADL3312685","1150","1211","P000","tmcPLm1150_031a"
"frk24-tmc020202","PL","frk13-tmc020202","PL","mod Zarnow; mod Piotrkow Tryb.","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","20.183332","51.25","ADL3313635","19.683332","51.400002","ADL3296901","1151","1098","P000","tmcPLm1150_032a"
"frk24-tmc020202","PL","frk20-tmc020202","PL","mod Zarnow; mod Przedborz","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","20.183332","51.25","ADL3313635","19.883333","51.083332","ADL3298881","1151","1147","P000","tmcPLm1150_033a"
"frk24-tmc020202","PL","xrd07-tmc020202","PL","mod Zarnow; mod Opoczno","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","20.183332","51.25","ADL3313635","20.283333","51.366669","ADL3294907","1151","1208","P000","tmcPLm1150_034a"
"Gdansk","PL","frk04-tmc020202","PL","mod Czarlin","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.666668","54.349998","ADL3276372","18.766666","54.049999","ADL3272910","331","1132","P000","tmcPLm1150_035a"
"Gdansk","PL","loc13-tmc020202","PL","mod Wejherowo","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.666668","54.349998","ADL3276372","18.233334","54.599998","ADL3309564","331","1201","P000","tmcPLm1150_036a"
"Gdansk","PL","xrd02-tmc020202","PL","mod Starogard","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","18.666668","54.349998","ADL3276372","18.549999","53.966667","ADL3304930","331","1183","P000","tmcPLm1150_037a"
"Glogow","PL","Poznan","PL","nkn","trd","rd","min","A000","B000","C000","nkn","d000dd","nkn","t000t","1120","1180","QC2","Humnicki & Lalik 1957b","16.1","51.666668","ADL3276785","16.966667","52.416668","ADL3298580","1152","1029","P000","tmcPLm1150_038a"
