"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Bochnia","PL","Nowy Sacz","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","20.433332","49.966667","ADL3269182","20.716667","49.633331","ADL3294070","1080","1095","P000","tmcPLm1370b_001a"
"Bochnia","PL","Krakow","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","20.433332","49.966667","ADL3269182","19.916668","50.083332","ADL3285585","1080","343","P000","tmcPLm1370b_002a"
"Nowy Sacz","PL","Koszyce","SK","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","20.716667","49.633331","ADL3294070","21.25","48.716667","ADL2731949","1095","1091","P000","tmcPLm1370b_003a"
"Nowy Sacz","PL","Grybow","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","20.716667","49.633331","ADL3294070","20.950001","49.633331","ADL3278556","1095","1294","P000","tmcPLm1370b_004a"
"Biecz","PL","Grybow","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","21.25","49.733334","ADL3268514","20.950001","49.633331","ADL3278556","1295","1294","P000","tmcPLm1370b_005a"
"Biecz","PL","Bardyjow","SK","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","21.25","49.733334","ADL3268514","21.283333","49.283333","ADL2729425 ","1295","1291","P000","tmcPLm1370b_006a"
"Krakow","PL","Piotrkow","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","19.916668","50.083332","ADL3285585","19.683332","51.400002","ADL3296901","343","1098","P000","tmcPLm1370b_007a"
"Brzesc Kujawski","PL","Piotrkow","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","18.9","52.599998","ADL3270423","19.683332","51.400002","ADL3296901","1082","1098","P000","tmcPLm1370b_008a"
"Brzesc Kujawski","PL","Torun","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC2","Wojtowicz 1956:261","18.9","52.599998","ADL3270423","18.6","53.033333","ADL3307978","1082","860","P000","tmcPLm1370b_009a"
"Gdansk","PL","Torun","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1450","QC2","Wojtowicz 1956:261","18.666668","54.349998","ADL3276372","18.6","53.033333","ADL3307978","331","860","P000","tmcPLm1370b_010a"
