"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Astrachan","48.049168","46.349445","RU","nkn","exact","274","tmcPLm1370b_023a"
"Bardyjow","21.283333","49.283333","SK","nkn","exact","1291","tmcPLm1370b_006a"
"Biecz","21.25","49.733334","PL","nkn","exact","1295","tmcPLm1370b_005a"
"Bochnia","20.433332","49.966667","PL","nkn","exact","1080","tmcPLm1370b_001a"
"Bydgoszcz","18","53.150002","PL","nkn","exact","1030","tmcPLm1370b_012a"
"Grybow","20.950001","49.633331","PL","nkn","exact","1294","tmcPLm1370b_004a"
"Kaffa","35.383331","45.033333","UA","nkn","exact","241","tmcPLm1370b_021a"
"Koszyce","21.25","48.716667","SK","nkn","exact","1091","tmcPLm1370b_003a"
"loc01-tmc020328","51.883331","47.116669","KZ","?mod Atyrau","exact","624","tmcPLm1370b_024a"
"Lublin","22.566668","51.25","PL","nkn","exact","858","tmcPLm1370b_014a"
"Lwow","24","49.833332","UA","nkn","exact","557","tmcPLm1370b_019a"
"Nowy Sacz","20.716667","49.633331","PL","nkn","exact","1095","tmcPLm1370b_003a"
"Perekop","33.700001","46.166668","UA","nkn","exact","1292","tmcPLm1370b_020a"
"Radom","21.15","51.416668","PL","nkn","exact","1101","tmcPLm1370b_025a"
"Rzeszow","22","50.049999","PL","nkn","exact","1299","tmcPLm1370b_030a"
"Sandomierz","21.75","50.683334","PL","nkn","exact","1102","tmcPLm1370b_028a"
"Tana","39.413612","47.110001","UA","nkn","exact","280","tmcPLm1370b_022a"
"Torun","18.6","53.033333","PL","nkn","exact","860","tmcPLm1370b_014a"
"Tuchola","17.85","53.583332","PL","nkn","exact","1296","tmcPLm1370b_012a"
"Wlodzimierz","24.333332","50.849998","UA","nkn","exact","705","tmcPLm1370b_015a"
"Wroclaw","17.033333","51.099998","PL","nkn","exact","933","tmcPLm1370b_033a"
"Piotrkow","19.683332","51.400002","PL","nkn","exact","1098","tmcPLm1370b_007a"
"Krakow","19.916668","50.083332","PL","nkn","exact","343","tmcPLm1370b_007a"
"Brzesc Kujawski","18.9","52.599998","PL","nkn","exact","1082","tmcPLm1370b_008a"
"Gdansk","18.666668","54.349998","PL","nkn","exact","331","tmcPLm1370b_010a"
"Przemysl","22.783333","49.783333","PL","nkn","exact","1100","tmcPLm1370b_030a"
"loc01-tmc020718","30.516666","50.433334","PL","Kijow","exact","335","tmcPLm1370b_035a"
