"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Bochnia","PL","Nowy Sacz","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","20.433332","49.966667","ADL3269182","20.716667","49.633331","ADL3294070","1080","1095","P000","tmcPLm1370_001a"
"Bochnia","PL","Wieliczka","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","20.433332","49.966667","ADL3269182","20.066668","49.983334","ADL3309888","1080","1106","P000","tmcPLm1370_002a"
"Braclaw","UA","Kamieniec Podolski","UA","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","28.950001","48.833332","ADL4185032","26.566668","48.666668","ADL4189990","1081","859","P000","tmcPLm1370_003a"
"Brzesc Kujawski","PL","Leczyca","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","18.9","52.599998","ADL3270423","19.216667","52.066666","ADL3287769","1082","1092","P000","tmcPLm1370_004a"
"Brzesc Kujawski","PL","Torun","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","18.9","52.599998","ADL3270423","18.6","53.033333","ADL3307978","1082","860","P000","tmcPLm1370_005a"
"Bytom","PL","Olkusz","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","18.966667","50.349998","ADL3271443","19.566668","50.283333","ADL3294677","1083","1096","P000","tmcPLm1370_006a"
"Bytom","PL","Opole","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","18.966667","50.349998","ADL3271443","17.950001","50.666668","ADL3294918","1083","1097","P000","tmcPLm1370_007a"
"Chelm","PL","Lublin","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","23.5","51.133331","ADL3271734","22.566668","51.25","ADL3289297","1084","858","P000","tmcPLm1370_008a"
"Chelm","PL","Wlodzimierz","UA","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","23.5","51.133331","ADL3271734","24.333332","50.849998","ADL4209493","1084","705","P000","tmcPLm1370_009a"
"Chelmno","PL","Gdansk","PL","nkn","trd","rd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1350","1390","QC2","Rutkowski 1980a","18.433332","53.349998","ADL3271717","18.666668","54.349998","ADL3276372","1085","331","P000","tmcPLm1370_010a"
