"NODE1""",COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Tlemcen,DZ,Fes,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-1.315,34.878334,ADL1073869,-4.982778,34.052776,ADL2839151,787,786,P000,tmcMAm1500_001a
Figuig,MA,Fes,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-1.226944,32.116669,ADL2839177,-4.982778,34.052776,ADL2839151,1009,786,P000,tmcMAm1500_002a
Sijilmassa,MA,Fes,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-4.283333,31.283333,ADL2855825,-4.982778,34.052776,ADL2839151,789,786,P000,tmcMAm1500_003a
Sijilmassa,MA,Marrakesh,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-4.283333,31.283333,ADL2855825,-8,31.633333,ADL2845299,789,788,P000,tmcMAm1500_004a
Mogador,MA,Marrakesh,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-9.769722,31.513056,ADL2838810,-8,31.633333,ADL2845299,1008,788,P000,tmcMAm1500_005a
Agadir,MA,frk01-tmc010509,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-9.667,30.5,TGN1091336,-8.866667,30.483334,ADL2858971,894,1007,P000,tmcMAm1500_006a
Marrakesh,MA,frk01-tmc010509,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-8,31.633333,ADL2845299,-8.866667,30.483334,ADL2858971,788,1007,P000,tmcMAm1500_007a
frk01-tmc010509,MA,loc01-tmc010509,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-8.866667,30.483334,ADL2858971,-8.147778,27.674168,ADL1073322,1007,801,P000,tmcMAm1500_008a
Tangier,MA,Fes,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-5.812778,35.784721,ADL2858291,-4.982778,34.052776,ADL2839151,800,786,P000,tmcMAm1500_009a
Tunis,MA,Figuig,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,10.217,36.833,TGN7001016,-1.226944,32.116669,ADL2839177,868,1009,P000,tmcMAm1500_010a
Tlemcen,MA,Figuig,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-1.315,34.878334,ADL1073869,-1.226944,32.116669,ADL2839177,787,1009,P000,tmcMAm1500_011a
Sijilmassa,MA,Figuig,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-4.283333,31.283333,ADL2855825,-1.226944,32.116669,ADL2839177,789,1009,P000,tmcMAm1500_012a
Sijilmassa,MA,loc01-tmc010509,DZ,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-4.283333,31.283333,ADL2855825,-8.147778,27.674168,ADL1073322,789,801,P000,tmcMAm1500_013a
loc02-tmc010509,MR,loc01-tmc010509,DZ,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-12.7,22.6833,www.calle.com,-8.147778,27.674168,ADL1073322,1006,801,P000,tmcMAm1500_014a
loc02-tmc010509,MR,Oualata,MR,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-12.7,22.6833,www.calle.com,-7.033333,17.299999,ADL2868670,1006,792,P000,tmcMAm1500_015a
loc03-tmc010509,ML,Timbuktu,ML,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-3.9833,22.6667,www.calle.com,-3.016667,16.766666,ADL2824491,869,793,P000,tmcMAm1500_016a
loc03-tmc010509,ML,Sijilmassa,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,-3.9833,22.6667,www.calle.com,-4.283333,31.283333,ADL2855825,869,789,P000,tmcMAm1500_017a
frk02-tmc010509,DZ,Tunis,TN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,2.483,27.2,TGN7025561,10.217,36.833,TGN7001016,617,868,P000,tmcMAm1500_018a
frk02-tmc010509,DZ,Timbuktu,ML,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,2.483,27.2,TGN7025561,-3.016667,16.766666,ADL2824491,617,793,P000,tmcMAm1500_019a
frk02-tmc010509,DZ,Figuig,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,200,1933,QC4,de Rouvray 2001,2.483,27.2,TGN7025561,-1.226944,32.116669,ADL2839177,617,1009,P000,tmcMAm1500_020a
