NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Aidhab,SD,Jiddah,SA,nkn,trd,sl,maj,A000,B000,C000,nkn,d000dd,shp,t000t,500,1800,QC4,Oliver 2000:153,36.650002,22.233334,ADL3883805,39.200001,21.483334,ADL3672672,798,743,P000,tmcDZm0500_001a
Aswan,EG,Aidhab,SD,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,32.883331,24.083332,ADL1844919,36.650002,22.233334,ADL3883805,741,798,P000,tmcDZm0500_002a
Augila,LY,loc01-tmc010322,EG,?Asyut,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,21.286943,29.108055,ADL2740480,31.183332,27.183332,ADL1844928,776,799,P000,tmcDZm0500_003a
Awlil,MR,Sijilmasa,MA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,-15.967,18.15,TGN1091308,-4.283333,31.283333,ADL2855825,875,789,P000,tmcDZm0500_004a
Bilma,NE,Murzuk,LY,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,12.933333,18.683332,ADL3031981,13.917,25.917,TGN7000653,796,872,P000,tmcDZm0500_005a
Bilma,NE,loc02-tmc010322,TD,?Bir Gara,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,12.933333,18.683332,ADL3031981,15.9667,13.1833,www.fallingrain.com,796,874,P000,tmcDZm0500_006a
Gao,ML,Bilma,NE,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,-0.05,16.266666,ADL2816398,12.933333,18.683332,ADL3031981,795,796,P000,tmcDZm0500_007a
Ghadames,LY,Augila,LY,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,9.5,30.133333,ADL2743876,21.286943,29.108055,ADL2740480,762,776,P000,tmcDZm0500_008a
Jiddah,SA,Mekka,SA,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,39.200001,21.483334,ADL3672672,39.816666,21.450001,ADL3674396,743,742,P000,tmcDZm0500_009a
Kano,NG,Bilma,NE,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,rid,t000t,500,1800,QC4,Oliver 2000:153,8.167,12,TGN7000506,12.933333,18.683332,ADL3031981,873,796,P000,tmcDZm0500_010a
