"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Mecca","SA","Madina","SA","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","39.816666","21.450001","ADL3674396","39.614166","24.468611","ADL3665740","742","767","P000","tmcDZm1300a_001a"
"loc01-tmc031216","JO","Madina","SA","named Manamal Caravan;?Al-`Aqabah","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","35","29.517","TGN","39.614166","24.468611","ADL3665740","7","767","P000","tmcDZm1300a_002a"
"loc01-tmc031216","JO","Cairo","EG","?Al-`Aqabah","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","35","29.517","TGN","31.25","30.05","TGN7001215","7","871","P000","tmcDZm1300a_003a"
"Asiut","EG","Cairo","EG","nkn","plg","rv","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","31.183332","27.183332","ADL1844928","31.25","30.05","TGN7001215","799","871","P000","tmcDZm1300a_004a"
"Asiut","EG","Qusair","EG","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","31.183332","27.183332","ADL1844928","34.283333","26.1","ADL1844102","799","751","P000","tmcDZm1300a_005a"
"Asiut","EG","Kharja","EG","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","31.183332","27.183332","ADL1844928","30.583332","25.333332","ADL1851051","799","723","P000","tmcDZm1300a_006a"
"Kharja","EG","Selima","SD","route  Darb al-Arba-in","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","30.583332","25.333332","ADL1851051","29.316668","21.366667","adlgaz-1-3891168-4f","723","737","P000","tmcDZm1300a_007a"
"Cairo","EG","Siwa","EG","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","31.25","30.05","TGN7001215","25.666668","29.166668","ADL1856892","871","502","P000","tmcDZm1300a_008a"
"Siwa","EG","Aujila","LY","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","25.666668","29.166668","ADL1856892","21.286943","29.108055","ADL2740480","502","776","P000","tmcDZm1300a_009a"
"Aujila","LY","Benghazi","LY","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","21.286943","29.108055","ADL2740480","20.066668","32.116669","adlgaz-1-2741074-42","776","23","P000","tmcDZm1300a_010a"
"Aujila","LY","Kufra","LY","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","21.286943","29.108055","ADL2740480","23.25","24.166668","ADL2739308","776","731","P000","tmcDZm1300a_011a"
"Aujila","LY","frk01-tmc031216","LY","(Waddan?)  E Aujila;W Ghadames;NW loc02-tmc031216","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","21.286943","29.108055","ADL2740480","16.133333","29.166668","adlgaz-1-2758341-76","776","1546","P000","tmcDZm1300a_012a"
"Ghadames","LY","frk01-tmc031216","LY","(Waddan?) E Aujila;W Ghadames;NW loc02-tmc031216 ; Maghrib caravan","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","9.5","30.133333","ADL2743876","16.133333","29.166668","adlgaz-1-2758341-76","762","1546","P000","tmcDZm1300a_013a"
"loc02-tmc031216","TN","frk01-tmc031216","LY","(Waddan?) E Aujila;W Ghadames;NW loc02-tmc031216 ","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","10.116667","33.883331","adlgaz-1-4058810-46","16.133333","29.166668","adlgaz-1-2758341-76","778","1546","P000","tmcDZm1300a_014a"
"loc02-tmc031216","TN","Qairawan","TN","?Qabis","plg","rd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","10.116667","33.883331","adlgaz-1-4058810-46","10.101667","35.674442","ADL4055738","778","887","P000","tmcDZm1300a_015a"
"Constantin","DZ","Qairawan","TN","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","6.614722","36.365002","adlgaz-1-1040696-70","10.101667","35.674442","ADL4055738","1540","887","P000","tmcDZm1300a_016a"
"Constantin","DZ","Algiers","DZ","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","6.614722","36.365002","adlgaz-1-1040696-70","3.050556","36.763058","ADL1032486","1540","783","P000","tmcDZm1300a_017a"
"Tlemcen","DZ","Algiers","DZ","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","-1.315","34.878334","ADL1073869","3.050556","36.763058","ADL1032486","787","783","P000","tmcDZm1300a_018a"
"Tlemcen","DZ","Fez","MA","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","-1.315","34.878334","ADL1073869","-4.982778","34.052776","ADL2839151","787","786","P000","tmcDZm1300a_019a"
"Sijilmasa","MA","Fez","MA","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","-4.283333","31.283333","ADL2855825","-4.982778","34.052776","ADL2839151","789","786","P000","tmcDZm1300a_020a"
"Rabat","MA","Fez","MA","nkn","plg","cd","maj","A001","B001","C001","Mecca","d000dd","nkn","t000t","1300","1900","QC4","al-Naqar 1972:map","-6.833333","34.033333","adlgaz-1-2849937-21","-4.982778","34.052776","ADL2839151","1541","786","P000","tmcDZm1300a_021a"
