"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Abbeche","20.8167","13.8167","TD","nkn","exact","2296","tmcDZm1300a_049a"
"Agadez","7.983333","16.966667","NE","nkn","exact","794","tmcDZm1300a_040a"
"Aksum","38.7158","14.1297","ET","nkn","exact","2308","tmcDZm1300a_109a"
"Algiers","3.050556","36.763058","DZ","nkn","exact","783","tmcDZm1300a_018a"
"Arbinda","-.8664","14.2325","BF","nkn","exact","2327","tmcDZm1300a_077a"
"Arwan","-3.55","18.9","ML","nkn","exact","1545","tmcDZm1300a_036a"
"Asiut","31.183332","27.183332","EG","nkn","exact","799","tmcDZm1300a_004a"
"Aujila","21.286943","29.108055","LY","nkn","exact","776","tmcDZm1300a_009a"
"Banjagara","-3.6167","14.35","ML","nkn","exact","2328","tmcDZm1300a_086a"
"Bauchi","9.8442","10.3158","NG","nkn","exact","2319","tmcDZm1300a_062a"
"Benghazi","20.066668","32.116669","LY","nkn","exact","23","tmcDZm1300a_010a"
"Berber","33.9833","18.0167","SD","nkn","exact","2299","tmcDZm1300a_098a"
"Bilma","12.933333","18.683332","NE","nkn","exact","796","tmcDZm1300a_050a"
"Cairo","31.25","30.05","EG","nkn","exact","871","tmcDZm1300a_003a"
"Constantin","6.614722","36.365002","DZ","nkn","exact","1540","tmcDZm1300a_016a"
"Damar","33.9592","17.5928","SD","nkn","exact","2301","tmcDZm1300a_099a"
"Deim Zubair","26.2167","7.7167","SD","nkn","exact","2318","tmcDZm1300a_097a"
"Fasher","25.35","13.6333","SD","nkn","exact","2298","tmcDZm1300a_058a"
"Fez","-4.982778","34.052776","MA","nkn","exact","786","tmcDZm1300a_019a"
"frk01-tmc031216","16.133333","29.166668","LY","(Waddan?) E Aujila;W Ghadames;NW loc02-tmc031216","exact","1546","tmcDZm1300a_012a"
"frk01-tmc050223","28.0333","20.05","SD","NW Kufra; NE Selima; S Kobi","exact","2360","tmcDZm1300a_052a"
"Gallabat","36.2","12.9667","ET","nkn","exact","2306","tmcDZm1300a_107a"
"Gao","-.05","16.266666","ML","nkn","exact","795","tmcDZm1300a_038a"
"Ghadames","9.5","30.133333","LY","nkn","exact","762","tmcDZm1300a_013a"
"Gondar","37.4667","12.6","ET","nkn","exact","2307","tmcDZm1300a_108a"
"Gwandu","4.65","12.5","NG","nkn","exact","2323","tmcDZm1300a_072a"
"In Gall","6.933333","16.783333","NE","nkn","exact","1547","tmcDZm1300a_039a"
"In Salah","2.483","27.2","DZ","nkn","exact","617","tmcDZm1300a_034a"
"Jenne","-4.55","13.9","ML","nkn","exact","2330","tmcDZm1300a_078a"
"Kafi Kenji","24.4167","9.2667","SD","nkn","exact","2317","tmcDZm1300a_096a"
"Kankan","-9.3","10.3833","GN","nkn","exact","2336","tmcDZm1300a_080a"
"Kano","8.167","12","NG","nkn","exact","873","tmcDZm1300a_065a"
"Katsina","7.5994","12.9978","NG","nkn","exact","2321","tmcDZm1300a_067a"
"Kebbi","4.1975","12.4539","NG","nkn","exact","2324","tmcDZm1300a_073a"
"Kharja","30.583332","25.333332","EG","nkn","exact","723","tmcDZm1300a_006a"
"Kobi","23.9667","14.0667","SD","nkn","exact","2297","tmcDZm1300a_057a"
"Kufra","23.25","24.166668","LY","nkn","exact","731","tmcDZm1300a_011a"
"loc01-tmc031216","35","29.517","JO","?Al-`Aqabah","exact","7","tmcDZm1300a_002a"
"loc01-tmc050223","13.1108","14.2528","NE","?Nguigmi ;N. of the lake","exact","2313","tmcDZm1300a_051a"
"loc02-tmc031216","10.116667","33.883331","TN","Qabis?","exact","778","tmcDZm1300a_015a"
"loc02-tmc050223","-13.6667","13.7833","SN","?Tambacounda","exact","2339","tmcDZm1300a_082a"
"loc03-tmc050223","-15.1167","15.4","SN","?Linguere","exact","2338","tmcDZm1300a_084a"
"loc04-tmc050223","-9.8833","13.45","ML","?Toukoto","exact","2332","tmcDZm1300a_089a"
"loc05-tmc050223","-11.4333","14.45","ML","?Kayes","exact","2333","tmcDZm1300a_090a"
"loc06-tmc050223","-13.25","15.6667","SN","?Matam","exact","2334","tmcDZm1300a_091a"
"loc07-tmc050223","18.3833","9.15","TD","?Sarh=is it Massinda?","exact","2315","tmcDZm1300a_094a"
"loc08-tmc050223","24.8333","21.8667","LY","?Zuwayyah","exact","2359","tmcDZm1300a_053a"
"loc11-tmc050223","27.0667","17.55","SD","?Rahib Wells","exact","2363","tmcDZm1300a_055a"
"loc12-tmc050223","25.8333","15.7","SD","?Umm Luhayy; Qalti","exact","2364","tmcDZm1300a_056a"
"loc13-tmc050223","28","7.7","SD","?Waw","exact","2365","tmcDZm1300a_114a"
"loc14-tmc050223","28.1167","8.5333","SD","?Gogrial","exact","2366","tmcDZm1300a_115a"
"loc15-tmc050223","29.8333","9.2333","SD","?Bentiu","exact","2367","tmcDZm1300a_116a"
"loc16-tmc050223","30.8842","9.0694","SD","?Fangak","exact","2357","tmcDZm1300a_117a"
"loc17-tmc050223","31.6294","9.4317","SD","?Tawfiqiyah","exact","2368","tmcDZm1300a_119a"
"loc18-tmc050223","31.6561","9.5369","SD","?Malakal","exact","2369","tmcDZm1300a_119a"
"loc19-tmc050223","32.1167","9.8833","SD","?Kodok","exact","2370","tmcDZm1300a_120a"
"loc20-tmc050223","32.2","10.4333","SD","?Malut","exact","2371","tmcDZm1300a_121a"
"loc21-tmc050223","32.6667","13.1667","SD","?Kusti","exact","2372","tmcDZm1300a_102a"
"loc22-tmc050223","33.5667","18.8","SD","?Ash Shurayk","exact","2373","tmcDZm1300a_123a"
"loc23-tmc050223","33.3167","19.5333","SD","?Abu Hamad","exact","2374","tmcDZm1300a_124a"
"loc24-tmc050223","31.8167","18.4833","SD","?Meroe","exact","892","tmcDZm1300a_125a"
"loc25-tmc050223","31.8","18.45","SD","?Ad Dabbah","exact","2376","tmcDZm1300a_126a"
"loc26-tmc050223","30.5667","18.6","SD","?Al Khandaq","exact","2377","tmcDZm1300a_127a"
"loc27-tmc050223","30.4833","19.1667","SD","?Dunqulah","exact","2378","tmcDZm1300a_128a"
"loc28-tmc050223","30.4167","19.5167","SD","?Argo","exact","2379","tmcDZm1300a_129a"
"loc29-tmc050223","30.5614","20.1228","SD","?Dalqu","exact","2380","tmcDZm1300a_130a"
"loc30-tmc050223","31.0167","21.4667","SD","?Semna East","exact","2381","tmcDZm1300a_131a"
"loc31-tmc050223","31.35","21.8","SD","?Wadi Halfa'","exact","2382","tmcDZm1300a_132a"
"loc32-tmc050223","32.883331","24.083332","EG","?Aswan","exact","741","tmcDZm1300a_133a"
"loc33-tmc050223","32.683334","25.700001","EG","?Luxor","exact","764","tmcDZm1300a_134a"
"loc34-tmc050223","10.5508","25.7892","LY","?Al Awaynat","exact","2383","tmcDZm1300a_045a"
"loc35-tmc050223","9.4822","24.5525","DZ","?Djanet","exact","2384","tmcDZm1300a_044a"
"loc36-tmc050223","8.4","19.0667","NE","?Iferouane","exact","2385","tmcDZm1300a_041a"
"Madina","39.614166","24.468611","SA","nkn","exact","767","tmcDZm1300a_001a"
"Marrakech","-8","31.633333","MA","nkn","exact","788","tmcDZm1300a_022a"
"Masawa","39.45","15.6097","ER","nkn","exact","2309","tmcDZm1300a_110a"
"Masinya","16.1733","11.4014","TD","nkn","exact","2312","tmcDZm1300a_060a"
"Mecca","39.816666","21.450001","SA","nkn","exact","742","tmcDZm1300a_001a"
"Murzuk","13.917","25.917","LY","nkn","exact","872","tmcDZm1300a_050a"
"Ndele","20.6531","8.4092","CF","nkn","exact","2316","tmcDZm1300a_095a"
"Nuhud","28.4333","12.7","SD","nkn","exact","2305","tmcDZm1300a_111a"
"Obied","30.2167","13.1833","SD","nkn","exact","2303","tmcDZm1300a_101a"
"Podor","-14.95","16.6667","SN","nkn","exact","2335","tmcDZm1300a_084a"
"Qairawan","10.101667","35.674442","TN","nkn","exact","887","tmcDZm1300a_015a"
"qrd01-tmc050223","-7.1167","22.5167","MR","(?) N Thagza; E Taudeni; S Walata; W Shinqit","exact","2358","tmcDZm1300a_028a"
"qrd02-tmc050223","6.909","11.9107","NG","?nr Gusau","approx","2375","tmcDZm1300a_064a"
"Qusair","34.283333","26.1","EG","nkn","exact","751","tmcDZm1300a_005a"
"Rabat","-6.833333","34.033333","MA","nkn","exact","1541","tmcDZm1300a_021a"
"Salaga","-.5167","8.55","GH","nkn","exact","2325","tmcDZm1300a_068a"
"Sambatikila","-7.5689","9.8261","CI","nkn","exact","2340","tmcDZm1300a_079a"
