NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
loc03-tmc010205,UA,Etil,RU,Tmutorokan,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,36.707779,45.207779,ADL3627940,47.017,47.25,TGN,696,72,P000,tmcZCAm1000_001a
Etil,RU,Talas,KZ,along E bank od R.Syrdaria,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,47.017,47.25,TGN,71.417,42.833,TGN7016637 ,72,515,P000,tmcZCAm1000_002a
Talas,KZ,loc01-tmc010206,KG,mod Bishkek?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,71.417,42.833,TGN7016637 ,74.599998,42.900002,ADL2608195,515,530,P000,tmcZCAm1000_003a
loc01-tmc010206,KG,Balasaghun,KG,mod Bishkek?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,74.599998,42.900002,ADL2608195,75.3333,42.7333,www.calle.com,530,1005,P000,tmcZCAm1000_004a
Aksu,CN,Kucha,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,80.23333,41.25,ADL1635907,82.900002,41.716667,ADL1615547,174,89,P000,tmcZCAm1000_005a
Balasaghun,KG,Beshbaliq,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,75.3333,42.7333,www.calle.com,87.583336,43.799999,adlgaz-1-1634637-0d,1005,173,P000,tmcZCAm1000_006a
Beshbaliq,CN,Qocho,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,87.583336,43.799999,adlgaz-1-1634637-0d,89.1,42.917,TGN7001479,173,170,P000,tmcZCAm1000_007a
Qocho,CN,Tun-huang,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,89.1,42.917,TGN7001479,94.683334,40.166668,ADL1604560,170,50,P000,tmcZCAm1000_008a
Tun-huang,CN,Ch'ang-an,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,94.683334,40.166668,ADL1604560,108.935547,34.260277,adlgaz-1-1636913-76,50,175,P000,tmcZCAm1000_009a
Ch'ang-an,CN,Lo-yang,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,108.935547,34.260277,adlgaz-1-1636913-76,112.4166,34.6833,Rigby 1984,175,93,P000,tmcZCAm1000_010a
Lo-yang,CN,K'ai-feng,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,112.4166,34.6833,Rigby 1984,114.348343,34.791111,ADL1614956,93,548,P000,tmcZCAm1000_011a
Tun-huang,CN,Khotan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,94.683334,40.166668,ADL1604560,79.9166,37.1166,Rigby 1984,50,68,P000,tmcZCAm1000_012a
Kashgar,CN,Khotan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,76.033,39.483,TGN,79.9166,37.1166,Rigby 1984,77,68,P000,tmcZCAm1000_013a
Kashgar,CN,loc06-tmc010205,UZ,mod Termez?,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Foltz 1999:x-xi,76.033,39.483,TGN,67.26667,37.233334,ADL4231515,77,532,P000,tmcZCAm1000_014a
