NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
Aksu,80.23333,41.25,CN,nkn,exact,174,tmcZCAm1000_005a
Aleppo,37.166668,36.200001,SY,nkn,exact,231,tmcZCAm1000_024a
Baghdad,44.39389,33.338612,IQ,nkn,exact,1635,tmcZCAm1000_023a
Balasaghun,75.3333,42.7333,KG,nkn,exact,1005,tmcZCAm1000_004a
Balkh,66.9,36.75,AF,nkn,exact,22,tmcZCAm1000_016a
Bamiyan,67.816666,34.816666,AF,nkn,exact,227,tmcZCAm1000_017a
Bedel Pass,78.433334,41.433334,CN/KG,nkn,exact,190,tmcZCAm1000_039a
Beshbaliq,87.583336,43.799999,CN,nkn,exact,173,tmcZCAm1000_006a
Bukhara,64.416664,39.799999,UZ,nkn,exact,232,tmcZCAm1000_020a
Ch'ang-an,108.935547,34.260277,CN,nkn,exact,175,tmcZCAm1000_009a
Ch'eng-tu,104.066673,30.666668,CN,nkn,exact,267,tmcZCAm1000_038a
Dahistan,54.666668,38.333332,TM,nkn,exact,988,tmcZCAm1000_041a
Etil,47.017,47.25,RU,nkn,exact,72,tmcZCAm1000_001a
Gurgan,54.439167,36.828056,IR,nkn,exact,296,tmcZCAm1000_041a
Gurganj,59.166668,42.316666,TM,nkn,exact,643,tmcZCAm1000_042a
Hadda,72.866669,32.016666,AF,nkn,exact,228,tmcZCAm1000_037a
Hamadan,48.583,34.767,IR,nkn,exact,59,tmcZCAm1000_022a
K'ai-feng,114.348343,34.791111,CN,nkn,exact,548,tmcZCAm1000_011a
Kashgar,76.033,39.483,CN,nkn,exact,77,tmcZCAm1000_013a
Khotan,79.9166,37.1166,CN,nkn,exact,68,tmcZCAm1000_012a
Kucha,82.900002,41.716667,CN,nkn,exact,89,tmcZCAm1000_005a
loc01-tmc010206,74.599998,42.900002,KG,mod Bishkek?,exact,530,tmcZCAm1000_003a
loc01-tmc040121,78.433334,41.433334,KG,Bedel Pass?,exact,190,tmcZCAm1000_043a
loc02-tmc010206,67.833336,40.099998,UZ,mod Dzhizak?,exact,674,tmcZCAm1000_025a
loc02-tmc040121,76.199997,42.466667,KG,mod Bishkek?,exact,531,tmcZCAm1000_044a
loc03-tmc010205,36.707779,45.207779,RU,Tmutorokan,exact,696,tmcZCAm1000_001a
loc04-tmc010205,72.800003,40.533333,KG,mod Osh?,exact,117,tmcZCAm1000_028a
