NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Chang'an,CN,loc01-tmc040123,CN,Lupan Pass,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),108.935547,34.260277,adlgaz-1-1636913-76,106.25,35.666668,adlgaz-1-1602866-08,175,1622,P000,tmcZCAm0600_001a
loc01-tmc040123,CN,Lanzhou,CN,Lupan Pass,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),106.25,35.666668,adlgaz-1-1602866-08,103.792221,36.056389,adlgaz-1-1615874-2a,1622,85,P000,tmcZCAm0600_002a
loc02-tmc040123,CN,Lanzhou,CN,Liangzhou,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),102.800003,37.966667,adlgaz-1-1616671-6e,103.792221,36.056389,adlgaz-1-1615874-2a,91,85,P000,tmcZCAm0600_003a
loc02-tmc040123,CN,loc03-tmc040123,CN,Liangzhou; Anxi,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),102.800003,37.966667,adlgaz-1-1616671-6e,95.800003,40.5,adlgaz-1-1643915-7b,91,180,P000,tmcZCAm0600_004a
Dunhuang,CN,loc03-tmc040123,CN,Anxi,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),94.683334,40.166668,ADL1604560,95.800003,40.5,adlgaz-1-1643915-7b,50,180,P000,tmcZCAm0600_005a
Dunhuang,CN,loc04-tmc040123,CN,Xingxingxia,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),94.683334,40.166668,ADL1604560,95.116669,41.783333,ADL1639748,50,1240,P000,tmcZCAm0600_006a
Hami,CN,loc04-tmc040123,CN,Xingxingxia,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),93.449997,42.799999,adlgaz-1-1608790-15,95.116669,41.783333,ADL1639748,527,1240,P000,tmcZCAm0600_007a
Hami,CN,Turfan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),93.449997,42.799999,adlgaz-1-1608790-15,89.1,42.917,TGN7001479,527,170,P000,tmcZCAm0600_008a
loc05-tmc040123,CN,Turfan,CN,Korla,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),86.150002,41.733334,ADL1615350,89.1,42.917,TGN7001479,88,170,P000,tmcZCAm0600_009a
loc05-tmc040123,CN,Kucha,CN,Korla,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,-200,1400,QC4,Klimkeit 1988:map (frontispiece),86.150002,41.733334,ADL1615350,82.900002,41.716667,ADL1615547,88,89,P000,tmcZCAm0600_010a
