NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
Antiochien,36.116669,36.233334,TR,nkn,exact,1,tmcZCAm0600_056a
Aqsu,80.23333,41.25,CN,nkn,exact,174,tmcZCAm0600_013a
Baghdad,44.39389,33.338612,IQ,nkn,exact,1635,tmcZCAm0600_049a
Buchara,64.416664,39.799999,UZ,nkn,exact,232,tmcZCAm0600_033a
Chang'an,108.935547,34.260277,CN,nkn,exact,175,tmcZCAm0600_001a
Damaskus,36.299999,33.5,SY,nkn,exact,48,tmcZCAm0600_054a
Dunhuang,94.683334,40.166668,CN,nkn,exact,50,tmcZCAm0600_005a
Endere,83.833336,37.599998,CN,nkn,exact,233,tmcZCAm0600_018a
Hamadan,48.583,34.767,IR,nkn,exact,59,tmcZCAm0600_045a
Hami,93.449997,42.799999,CN,nkn,exact,527,tmcZCAm0600_007a
Kashgar,76.033,39.483,CN,nkn,exact,77,tmcZCAm0600_014a
Khotan,79.9166,37.1166,CN,nkn,exact,68,tmcZCAm0600_020a
Kucha,82.900002,41.716667,CN,nkn,exact,89,tmcZCAm0600_010a
Lanzhou,103.792221,36.056389,CN,nkn,exact,85,tmcZCAm0600_002a
loc01-tmc040123,106.25,35.666668,CN,Lupan Pass,exact,1622,tmcZCAm0600_001a
loc02-tmc040123,102.800003,37.966667,CN,Liangzhou,exact,91,tmcZCAm0600_003a
loc03-tmc040123,95.800003,40.5,CN,Liangzhou; Anxi,exact,180,tmcZCAm0600_004a
loc04-tmc040123,95.116669,41.783333,CN,Xingxingxia,exact,1240,tmcZCAm0600_006a
loc05-tmc040123,86.150002,41.733334,CN,nkn,exact,88,tmcZCAm0600_009a
loc06-tmc040123,87.316666,38.700001,CN,Waxxari,exact,1062,tmcZCAm0600_016a
loc07-tmc040123,86.099998,37.933334,CN,Hadilik,exact,1623,tmcZCAm0600_017a
loc08-tmc040123,74.25,39.799999,CN,Ulugqat,exact,1061,tmcZCAm0600_023a
loc09-tmc040123,73.25,39.733334,KG,Sary-Tash,exact,615,tmcZCAm0600_024a
loc10-tmc040123,72.800003,40.533333,KG,Osh,exact,117,tmcZCAm0600_025a
loc11-tmc040123,72.366669,40.75,UZ,Andijon,exact,647,tmcZCAm0600_026a
loc12-tmc040123,70.949997,40.5,UZ,Quqon,exact,219,tmcZCAm0600_027a
loc13-tmc040123,69.616669,40.283333,TJ,Khujand,exact,279,tmcZCAm0600_028a
loc14-tmc040123,67.833336,40.099998,UZ,Jizzakh,exact,674,tmcZCAm0600_029a
loc15-tmc040123,65.366669,40.150002,UZ,Nawoiy,exact,1624,tmcZCAm0600_031a
loc16-tmc040123,64.683334,40.099998,UZ,Ghizduvan,exact,1625,tmcZCAm0600_032a
loc17-tmc040123,63.566666,39.099998,TM,Charjew,exact,584,tmcZCAm0600_034a
loc18-tmc040123,61.159443,36.549442,IR,Sarakhs,exact,537,tmcZCAm0600_036a
loc19-tmc040123,59.59861,36.305,IR,Mashhad,exact,98,tmcZCAm0600_037a
loc20-tmc040123,58.817,36.217,IR,Neyshabur,exact,111,tmcZCAm0600_038a
loc21-tmc040123,57.671944,36.219723,IR,Sabzevar,exact,1626,tmcZCAm0600_039a
loc22-tmc040123,54.960556,36.420277,IR,Emamshahr,exact,1627,tmcZCAm0600_040a
loc23-tmc040123,54.349167,36.171112,IR,Damghan,exact,44,tmcZCAm0600_041a
loc24-tmc040123,52.340557,35.222221,IR,Garmsar,exact,1628,tmcZCAm0600_042a
loc25-tmc040123,51.417,35.583,IR,Rey,exact,136,tmcZCAm0600_043a
loc26-tmc040123,50.373333,35.009445,IR,Saveh,exact,1630,tmcZCAm0600_044a
loc27-tmc040123,47.067,34.317,IR,Kermanshah,exact,21,tmcZCAm0600_046a
loc28-tmc040123,45.594723,34.514168,IR,Qasr-e-Shirin,exact,1631,tmcZCAm0600_047a
loc29-tmc040123,45.366669,34.349998,IQ,Khanaqin,exact,1446,tmcZCAm0600_048a
loc30-tmc040123,43.577221,33.381943,IQ,Habbaniyah,exact,1632,tmcZCAm0600_050a
loc31-tmc040123,40.986942,34.392776,IQ,Qusaybah,exact,1633,tmcZCAm0600_051a
Loulan,89.75,40.533333,CN,nkn,exact,92,tmcZCAm0600_011a
Merw,62.166668,37.616669,TM,nkn,exact,620,tmcZCAm0600_035a
Miran,88.833336,39.25,CN,nkn,exact,103,tmcZCAm0600_015a
Niya,82.76667,37.066666,CN,nkn,exact,222,tmcZCAm0600_019a
Palmyra,38.283,34.55,SY,nkn,exact,169,tmcZCAm0600_053a
Samarkand,66.95,39.667,UZ,nkn,exact,141,tmcZCAm0600_030a
Turfan,89.1,42.917,CN,nkn,exact,170,tmcZCAm0600_008a
Tyrus,35.183,33.267,LB,nkn,exact,156,tmcZCAm0600_055a
Yarkand,77.267,38.45,CN,nkn,exact,149,tmcZCAm0600_021a
