"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Antwerp","BE","Maastricht","NL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","4.416667","51.216667","ADL1239025","5.6833","50.85","www.fallingrain.com","398","2983","P000","tmcDEm1500a_001a"
"Maastricht","NL","Cologne","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","5.6833","50.85","www.fallingrain.com","6.95","50.933334","ADL2157469","2983","411","P000","tmcDEm1500a_002a"
"Cologne","DE","Koblenz","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","6.95","50.933334","ADL2157469","7.6","50.35","www.fallingrain.com","411","2964","P000","tmcDEm1500a_003a"
"Koblenz","DE","Mainz","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","7.6","50.35","www.fallingrain.com","8.25","50","ADL2169521","2964","562","P000","tmcDEm1500a_004a"
"Mainz","DE","Frankfurt","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","8.25","50","ADL2169521","8.683333","50.116669","ADL2118754","562","564","P000","tmcDEm1500a_005a"
"Frankfurt","DE","Nuremberg","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","8.683333","50.116669","ADL2118754","11.083333","49.450001","ADL2182159","564","1448","P000","tmcDEm1500a_006a"
"Nuremberg","DE","Donauworth","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","11.083333","49.450001","ADL2182159","10.8","48.7","www.fallingrain.com","1448","2929","P000","tmcDEm1500a_007a"
"Donauworth","DE","Ulm","DE","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","10.8","48.7","www.fallingrain.com","10","48.4","www.fallingrain.com","2929","2813","P000","tmcDEm1500a_008a"
"Ulm","DE","loc01-tmc051107","DE","?Sigmaringen","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","10","48.4","www.fallingrain.com","9.2167","48.0833","www.fallingrain.com","2813","3013","P000","tmcDEm1500a_009a"
"loc01-tmc051107","DE","loc02-tmc051107","DE","?Sigmaringen;?Radolfzell ","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1450","1500","QC3","Spufford 2002:352","9.2167","48.0833","www.fallingrain.com","8.9667","47.7333","www.fallingrain.com","3013","3014","P000","tmcDEm1500a_010a"
