"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Antwerp","4.416667","51.216667","BE","nkn","exact","398","tmcDEm1500a_001a"
"Augsburg","10.8833","48.3667","DE","nkn","exact","2795","tmcDEm1500a_023a"
"Brenner Pass","11.5","47","AT","nkn","exact","318","tmcDEm1500a_025a"
"Brescia","10.25","45.55","IT","nkn","exact","3019","tmcDEm1500a_030a"
"Buda","19.0333","47.5","HU","nkn","exact","2459","tmcDEm1500a_036a"
"Chiusa","11.5667","46.6333","IT","nkn","exact","3018","tmcDEm1500a_027a"
"Cologne","6.95","50.933334","DE","nkn","exact","411","tmcDEm1500a_003a"
"Constance","9.1833","47.6667","DE","nkn","exact","2816","tmcDEm1500a_012a"
"Cracow","19.916668","50.083332","PL","nkn","exact","343","tmcDEm1500a_045a"
"Donauworth","10.8","48.7","DE","nkn","exact","2929","tmcDEm1500a_022a"
"Frankfurt","8.683333","50.116669","DE","nkn","exact","564","tmcDEm1500a_006a"
"Freiberg","13.3667","50.9167","DE","nkn","exact","3022","tmcDEm1500a_042a"
"frk01-tmc051107","8.75","47.5","CH","?Winterthur","exact","3015","tmcDEm1500a_013a"
"Geneva","6.166667","46.200001","CH","nkn","exact","423","tmcDEm1500a_018a"
"Innsbruck","11.4","47.2667","AT","nkn","exact","2822","tmcDEm1500a_024a"
"Koblenz","7.6","50.35","DE","nkn","exact","2964","tmcDEm1500a_004a"
"loc01-tmc051107","9.2167","48.0833","DE","?Sigmaringen","exact","3013","tmcDEm1500a_010a"
"loc02-tmc051107","8.9667","47.7333","DE","?Radolfzell","exact","3014","tmcDEm1500a_011a"
"loc03-tmc051107","7.4667","46.9167","CH","?Bern","exact","3023","tmcDEm1500a_016a"
"loc04-tmc051107","6.6667","46.5333","CH","?Lausanne","exact","2699","tmcDEm1500a_017a"
"loc05-tmc051107","5.6167","46.15","FR","?Nantua","exact","2784","tmcDEm1500a_019a"
"loc06-tmc051107","2.4","47.083332","FR","?Bourges","exact","413","tmcDEm1500a_021a"
"loc07-tmc051107","17.116667","48.150002","SK","?Bratislava","exact","322","tmcDEm1500a_035a"
"loc08-tmc051107","17.6333","47.6833","HU","?Gyor","exact","3020","tmcDEm1500a_036a"
"loc09-tmc051107","13.366667","49.75","CZ","?Plzen","exact","856","tmcDEm1500a_038a"
"loc10-tmc051107","19.15","48.7333","SK","?Banska Bystrica","exact","3021","tmcDEm1500a_039a"
"loc11-tmc051107","13.75","51.05","DE","?Dresden","exact","2803","tmcDEm1500a_043a"
"loc12-tmc051107","15","51.166668","DE","?Gorlitz","exact","1090","tmcDEm1500a_044a"
"loc13-tmc051107","17.033333","51.099998","PL","?Wroclaw","exact","933","tmcDEm1500a_045a"
"loc14-tmc051107","12.333333","51.299999","DE","?Leipzig","exact","1447","tmcDEm1500a_047a"
"loc15-tmc051107","13.4","52.516666","DE","?Berlin","exact","1472","tmcDEm1500a_048a"
"loc16-tmc051107","14.583333","53.416668","DE","?Szczecin","exact","1186","tmcDEm1500a_048a"
"Lyons","4.85","45.75","FR","nkn","exact","434","tmcDEm1500a_020a"
"Maastricht","5.6833","50.85","NL","nkn","exact","2983","tmcDEm1500a_002a"
"Mainz","8.25","50","DE","nkn","exact","562","tmcDEm1500a_005a"
"Milan","9.2","45.467","IT","nkn","exact","927","tmcDEm1500a_030a"
"Nuremberg","11.083333","49.450001","DE","nkn","exact","1448","tmcDEm1500a_007a"
"Prague","14.466667","50.083332","CZ","nkn","exact","353","tmcDEm1500a_039a"
"Regensburg","12.1","49.016666","DE","nkn","exact","339","tmcDEm1500a_033a"
"Sankt Gallen","9.4","47.4667","CH","nkn","exact","3016","tmcDEm1500a_013a"
"Sterzing","11.4333","46.9","IT","nkn","exact","3017","tmcDEm1500a_026a"
"Tours",".683333","47.383331","FR","nkn","exact","475","tmcDEm1500a_021a"
"Trent","11.133333","46.066666","IT","nkn","exact","321","tmcDEm1500a_028a"
"Ulm","10","48.4","DE","nkn","exact","2813","tmcDEm1500a_009a"
"Venice","12.326667","45.43861","IT","nkn","exact","323","tmcDEm1500a_031a"
"Verona","11","45.45","IT","nkn","exact","2729","tmcDEm1500a_029a"
"Vienna","16.366667","48.200001","AT","nkn","exact","1476","tmcDEm1500a_034a"
"Zurich","8.55","47.3667","CH","nkn","exact","2990","tmcDEm1500a_015a"
"Zwickau","12.5","50.7333","DE","nkn","exact","2873","tmcDEm1500a_041a"
