NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
Acebo,-6.4583335,42.4916665,ES,nkn,approx,1491,tmcESm1999_021a
Arzua,-8.15,42.933334,ES,nkn,exact,1496,tmcESm1999_028a
Astorga,-6.05,42.450001,ES,nkn,exact,294,tmcESm1999_020a
Azofra,-2.8,42.416668,ES,nkn,exact,1482,tmcESm1999_008a
Belorado,-3.183333,42.416668,ES,nkn,exact,1483,tmcESm1999_009a
Burgos,-3.7,42.349998,ES,nkn,exact,387,tmcESm1999_011a
Cacabelos,-6.716667,42.599998,ES,nkn,exact,1486,tmcESm1999_022a
Calzadilla de la Cueza,-4.8,42.333332,ES,nkn,exact,1485,tmcESm1999_015a
Candanchu,-0.533333,42.783333,ES,nkn,exact,1487,tmcESm1999_034a
Carrion de los Condes,-4.6,42.333332,ES,nkn,exact,385,tmcESm1999_014a
Cizur Menor,-1.666667,42.783333,ES,nkn,exact,1480,tmcESm1999_003a
El Burgo Ranero,-5.216667,42.416668,ES,nkn,exact,1490,tmcESm1999_017a
Estella,-2.033333,42.666668,ES,nkn,exact,381,tmcESm1999_005a
Fromista,-4.4,42.266666,ES,nkn,exact,379,tmcESm1999_013a
Hontanas,-4.033333,42.316666,ES,nkn,exact,1484,tmcESm1999_011a
Larrasoana,-1.533333,42.900002,ES,nkn,exact,1479,tmcESm1999_002a
Leon,-5.566667,42.599998,ES,nkn,exact,377,tmcESm1999_018a
Lugo,-7.566667,43,ES,nkn,exact,1497,tmcESm1999_035a
Monte do Gozo,-8.5,42.88,ES,nkn,approx,1499,tmcESm1999_029a
Navarrete,-2.55,42.433334,ES,nkn,exact,1488,tmcESm1999_007a
Palas de Rey,-7.866667,42.866669,ES,nkn,exact,1495,tmcESm1999_027a
Portomarin,-7.6,42.799999,ES,nkn,exact,1489,tmcESm1999_026a
Puente la Reina,-1.816667,42.666668,ES,nkn,exact,363,tmcESm1999_004a
Ronceveaux,-1.316677,43.016666,ES,nkn,exact,278,tmcESm1999_001a
Sahagun,-5.033333,42.366669,ES,nkn,exact,371,tmcESm1999_016a
San Juan de Ortega,-3.433333,42.366669,ES,nkn,exact,370,tmcESm1999_010a
Santiago,-8.55,42.883331,ES,nkn,exact,295,tmcESm1999_030a
Sarria,-7.4,42.783333,ES,nkn,exact,1498,tmcESm1999_025a
St-Jean-Pied-de-Port,-1.233333,43.166668,FR,nkn,exact,465,tmcESm1999_001a
Torres del Rio,-2.266667,42.549999,ES,nkn,exact,1481,tmcESm1999_006a
Triacastela,-7.233333,42.75,ES,nkn,exact,1494,tmcESm1999_024a
Vega de Valcarce,-6.933333,42.666668,ES,nkn,exact,1493,tmcESm1999_023a
Villadangos del Paramo,-5.766667,42.516666,ES,nkn,exact,1492,tmcESm1999_019a
