NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Edirne,TR,Istanbul,TR,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,26.566668,41.666668,ADL4079837,28.966667,41.016666,ADL4087473,900,71,P000,tmcTRm1200a_001a
loc01-tmc050521,GR,loc02-tmc050521,GR,?Alexandroupolis;?Ipsala,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,25.8744,40.8475,www.fallingrain.com,26.3831,40.9181,www.fallingrain.com,2572,2573,P000,tmcTRm1200a_002a
loc02-tmc050521,GR,loc03-tmc050521,TR,?Ipsala;?Kesan,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,26.3831,40.9181,www.fallingrain.com,26.6303,40.8558,www.fallingrain.com,2573,2590,P000,tmcTRm1200a_003a
loc03-tmc050521,TR,loc04-tmc050521,TR,?Kesan;?Gelibolu,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,26.6303,40.8558,www.fallingrain.com,26.666668,40.400002,ADL4081869,2590,942,P000,tmcTRm1200a_004a
loc04-tmc050521,TR,loc05-tmc050521,TR,?Gelibolu;?Eceabat,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,26.666668,40.400002,ADL4081869,26.3564,40.1839,www.fallingrain.com,942,2598,P000,tmcTRm1200a_005a
loc05-tmc050521,TR,Canakkale,TR,?Eceabat,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,26.3564,40.1839,www.fallingrain.com,26.4,40.150002,ADL4074217,2598,506,P000,tmcTRm1200a_006a
Canakkale,TR,loc06-tmc050521,TR,?Lapseki,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,26.4,40.150002,ADL4074217,26.6856,40.3442,www.fallingrain.com ,506,2522,P000,tmcTRm1200a_007a
loc06-tmc050521,TR,loc07-tmc050521,TR,?Lapseki;?Biga,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,26.6856,40.3442,www.fallingrain.com ,27.2422,40.2281,www.fallingrain.com,2522,2592,P000,tmcTRm1200a_008a
loc07-tmc050521,TR,loc08-tmc050521,TR,?Biga;?Bandirma,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,27.2422,40.2281,www.fallingrain.com,27.9767,40.3522,www.fallingrain.com,2592,2593,P000,tmcTRm1200a_009a
loc08-tmc050521,TR,Bursa,TR,?Bandirma,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,27.9767,40.3522,www.fallingrain.com,29.067,40.2,TGN7002420,2593,929,P000,tmcTRm1200a_010a
Bursa,TR,loc09-tmc050521,TR,?Gemlik,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1200,1400,QC3,Anonymous-5. n.d.,29.067,40.2,TGN7002420,29.1567,40.4331,www.fallingrain.com,929,2561,P000,tmcTRm1200a_011a
