NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
Adana,35.3289,37.0167,TR,nkn,exact,2074,tmcTRm1200a_099a
Adiyaman,38.2783,37.7592,TR,nkn,exact,2554,tmcTRm1200a_133a
Aksaray,34.05,38.3833,TR,nkn,exact,2019,tmcTRm1200a_090a
Aksehir,31.4164,38.3575,TR,nkn,exact,2499,tmcTRm1200a_047a
Amasya,35.8331,40.6533,TR,nkn,exact,2500,tmcTRm1200a_034a
Ankara,32.866669,39.933334,TR,nkn,exact,769,tmcTRm1200a_041a
Antalya,30.7,36.8833,TR,nkn,exact,2018,tmcTRm1200a_053a
Batman,41.1206,37.8828,TR,nkn,exact,2659,tmcTRm1200a_141a
Bayburt,40.2278,40.2589,TR,nkn,exact,2430,tmcTRm1200a_170a
Bingol,40.4964,38.8847,TR,nkn,exact,2668,tmcTRm1200a_150a
Bitlis,42.1097,38.4008,TR,nkn,exact,2341,tmcTRm1200a_160a
Bolu,31.6061,40.7358,TR,nkn,exact,2502,tmcTRm1200a_021a
Burdur,30.2908,37.7203,TR,nkn,exact,2621,tmcTRm1200a_053a
Bursa,29.067,40.2,TR,nkn,exact,929,tmcTRm1200a_010a
Canakkale,26.4,40.150002,TR,nkn,exact,506,tmcTRm1200a_007a
Civril,29.7386,38.3014,TR,nkn,exact,2628,tmcTRm1200a_065a
Denizli,29.0875,37.7742,TR,nkn,exact,2161,tmcTRm1200a_067a
Diyarbakir,40.2106,37.9189,TR,nkn,exact,2031,tmcTRm1200a_136a
Dogubayazit,44.0842,39.5469,TR,nkn,exact,239,tmcTRm1200a_190a
Edirne,26.566668,41.666668,TR,nkn,exact,900,tmcTRm1200a_001a
Elazig,39.2206,38.6753,TR,nkn,exact,2155,tmcTRm1200a_129a
Erzincan,39.4928,39.7522,TR,nkn,exact,2503,tmcTRm1200a_169a
Erzurum,41.283333,39.916668,TR,nkn,exact,238,tmcTRm1200a_165a
frk01-tmc050521,32.0203,40.7606,TR,?Yenicaga,exact,2605,tmcTRm1200a_024a
frk02-tmc050521,34.7667,41.4689,TR,?Boyabat,exact,2595,tmcTRm1200a_031a
frk03-tmc050521,35.6622,40.9706,TR,?Havza,exact,2609,tmcTRm1200a_034a
frk04-tmc050521,33.1,39.2333,TR,?Yazicayiri,exact,2613,tmcTRm1200a_043a
frk05-tmc050521,31.9264,37.9047,TR,?Yunuslar,exact,2190,tmcTRm1200a_048a
frk06-tmc050521,30.4186,37.9011,TR,?Gumusgun,exact,2622,tmcTRm1200a_055a
frk07-tmc050521,29.3261,37.8072,TR,?Kocabas,exact,2629,tmcTRm1200a_065a
frk08-tmc050521,35.6,36.95,TR,?Yakapinar,exact,2614,tmcTRm1200a_099a
frk09-tmc050521,35.8175,37.0247,TR,?Ceyhan,exact,2642,tmcTRm1200a_102a
frk10-tmc050521,36.7167,37.1833,TR,?Nurdagi,exact,2647,tmcTRm1200a_108a
frk11-tmc050521,37.7583,39.8978,TR,?Zara,exact,2653,tmcTRm1200a_120a
frk12-tmc050521,37.6367,37.7836,TR,?Golbasi,exact,2656,tmcTRm1200a_133a
frk13-tmc050521,39.3167,37.75,TR,?Siverek,exact,2657,tmcTRm1200a_135a
frk14-tmc050521,42.20869565,38.48310811,TR,?Alaman Hani,approx,2693,tmcTRm1200a_148a
frk15-tmc050521,42.2817,38.5067,TR,?Tatvan,approx,2662,tmcTRm1200a_146a
frk16-tmc050521,43.3617,39.0239,TR,?Ercis,approx,2665,tmcTRm1200a_153a
frk17-tmc050521,41.6831,39.9822,TR,?Pasinler,approx,2675,tmcTRm1200a_165a
frk18-tmc050521,40.7,39.9167,TR,?Askale,approx,2431,tmcTRm1200a_166a
frk19-tmc050521,42.1728,40.0458,TR,?Horasan,exact,2683,tmcTRm1200a_179a
frk20-tmc050521,42.6072,40.1711,TR,?Karakurt,exact,2686,tmcTRm1200a_184a
Gaziantep,37.3825,37.0594,TR,nkn,exact,2353,tmcTRm1200a_109a
Gumushane,39.4814,40.4603,TR,nkn,exact,2429,tmcTRm1200a_171a
Hatay,36.116669,36.233334,TR,nkn,exact,1,tmcTRm1200a_105a
Igdir,44.0464,39.9186,TR,nkn,exact,2073,tmcTRm1200a_186a
Isparta,30.5522,37.7644,TR,nkn,exact,2111,tmcTRm1200a_056a
Istanbul,28.966667,41.016666,TR,nkn,exact,71,tmcTRm1200a_001a
Izmir,27.15,38.416668,TR,nkn,exact,73,tmcTRm1200a_071a
Kahramanmaras,36.9317,37.5875,TR,nkn,exact,2556,tmcTRm1200a_113a
Karaman,33.215,37.1811,TR,nkn,exact,2505,tmcTRm1200a_087a
Kars,43.0975,40.6081,TR,nkn,exact,658,tmcTRm1200a_188a
Kastamonu,33.7711,41.3722,TR,nkn,exact,2506,tmcTRm1200a_027a
Kayseri,35.5,38.716667,TR,nkn,exact,772,tmcTRm1200a_091a
Kocaeli,29.917,40.783,TR,nkn,exact,74,tmcTRm1200a_020a
Konya,32.516666,37.866669,TR,nkn,exact,770,tmcTRm1200a_047a
loc01-tmc050521,25.8744,40.8475,GR,?Alexandroupolis ,exact,2572,tmcTRm1200a_002a
loc02-tmc050521,26.3831,40.9181,GR,?Ipsala ,exact,2573,tmcTRm1200a_003a
loc03-tmc050521,26.6303,40.8558,TR,?Kesan ,exact,2590,tmcTRm1200a_004a
loc04-tmc050521,26.666668,40.400002,TR,?Gelibolu ,exact,942,tmcTRm1200a_005a
loc05-tmc050521,26.3564,40.1839,TR,?Eceabat,exact,2598,tmcTRm1200a_006a
