"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Rostov na Donu","RU","Volgograd","RU","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","39.7139","47.2364","www.fallingrain.com","44.5858","48.8047","www.fallingrain.com","2563","895","P000","tmcTRm1200b_001a"
"Astrakhan","RU","Guryev","KZ","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","48.049168","46.349445","ADL3470113","51.883331","47.116669","ADL2659226","274","624","P000","tmcTRm1200b_002a"
"Volgograd","RU","Guryev","KZ","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","44.5858","48.8047","www.fallingrain.com","51.883331","47.116669","ADL2659226","895","624","P000","tmcTRm1200b_003a"
"loc64-tmc050518","RU","loc37-tmc050518","GE","?Sokhumi;?Poti","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","41.033333","43","ADL2061892","41.683","42.183","TGN7012263","553","855","P000","tmcTRm1200b_073a"
"loc01-tmc050518","GE","loc51-tmc050518","&R","?Batumi;?Trabzon","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","41.633","41.633","TGN7012247","39.716667","41","ADL4106147","657","168","P000","tmcTRm1200b_079a"
"loc37-tmc050518","GE","loc01-tmc050518","GE","?Poti;?Batumi","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","41.683","42.183","TGN7012263","41.633","41.633","TGN7012247","855","657","P000","tmcTRm1200b_121a"
"Guryev","KZ","loc02-tmc050518","KZ","?Aral'sk","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","51.883331","47.116669","ADL2659226","61.6667","46.8","www.fallingrain.com","624","2423","P000","tmcTRm1200b_004a"
"loc02-tmc050518","KZ","loc03-tmc050518","KZ","?Aral'sk;?Qyzylorda","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","61.6667","46.8","www.fallingrain.com","65.509171","44.852779","adlgaz-1-2670358-17","2423","1831","P000","tmcTRm1200b_005a"
"loc03-tmc050518","KZ","loc04-tmc050518","KZ","?Qyzylorda;?Shymkent","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","65.509171","44.852779","adlgaz-1-2670358-17","69.6","42.3","www.fallingrain.com","1831","2587","P000","tmcTRm1200b_006a"
"loc04-tmc050518","KZ","Talas","KZ","?Shymkent","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1400","QC4","Anonymous-6. n.d.","69.6","42.3","www.fallingrain.com","71.417","42.833","www.fallingrain.com","2587","515","P000","tmcTRm1200b_007a"
