"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Alma-Ata","76.949997","43.25","KZ","nkn","exact","976","tmcTRm1200b_029a"
"Ankara","32.866669","39.933334","TR","nkn","exact","769","tmcTRm1200b_083a"
"Ashkabad","58.383331","37.950001","TM","nkn","exact","386","tmcTRm1200b_066a"
"Astrakhan","48.049168","46.349445","RU","nkn","exact","274","tmcTRm1200b_002a"
"Baghdad","44.39389","33.338612","IQ","nkn","exact","1635","tmcTRm1200b_060a"
"Baku","49.893333","40.371113","AZ","nkn","exact","580","tmcTRm1200b_064a"
"Bandar Abbas","56.261944","27.218611","IR","nkn","exact","635","tmcTRm1200b_061a"
"Cingtao","120.3719","36.0986","CN","nkn","exact","2582","tmcTRm1200b_045a"
"Damghan","54.349167","36.171112","IR","nkn","exact","44","tmcTRm1200b_072a"
"Dushanbe","68.773331","38.561111","TJ","nkn","exact","1068","tmcTRm1200b_019a"
"frk01-tmc050518","95.800003","40.5","CN","?Anxi","exact","180","tmcTRm1200b_043a"
"frk02-tmc050518","114.2667","30.5833","CN","?Wuhan","exact","2581","tmcTRm1200b_047a"
"frk03-tmc050518","47.15","40.6172","AZ","?Yevlax","exact","2597","tmcTRm1200b_101a"
"Fucu","119.3061","26.0614","CN","nkn","exact","2579","tmcTRm1200b_048a"
"Guryev","51.883331","47.116669","KZ","nkn","exact","624","tmcTRm1200b_002a"
"Hamadan","48.583","34.767","IR","nkn","exact","59","tmcTRm1200b_061a"
"Hami","93.449997","42.799999","CN","nkn","exact","527","tmcTRm1200b_027a"
"Hangcou","120.1689","30.2553","CN","nkn","exact","2580","tmcTRm1200b_047a"
"Herat","62.2","34.333","AF","nkn","exact","60","tmcTRm1200b_071a"
"Kashgar","76.033","39.483","CN","nkn","exact","77","tmcTRm1200b_023a"
"Kuldja","81.349998","43.900002","CN","nkn","exact","646","tmcTRm1200b_039a"
"Lanzhou","103.792221","36.056389","CN","nkn","exact","85","tmcTRm1200b_044a"
"loc01-tmc050518","41.633","41.633","GE","?Batumi","exact","657","tmcTRm1200b_005a"
"loc02-tmc050518","61.6667","46.8","KZ","?Aral'sk","exact","2423","tmcTRm1200b_007a"
"loc03-tmc050518","65.509171","44.852779","KZ","?Qyzylorda","exact","1831","tmcTRm1200b_009a"
"loc04-tmc050518","69.6","42.3","KZ","?Shymkent","exact","2587","tmcTRm1200b_010a"
"loc05-tmc050518","67.833336","40.099998","UZ","?Jizzakh","exact","674","tmcTRm1200b_019a"
"loc06-tmc050518","66.95","39.667","UZ","?Samarkand","exact","141","tmcTRm1200b_014a"
"loc07-tmc050518","64.416664","39.799999","UZ","?Bukhara","exact","232","tmcTRm1200b_015a"
"loc08-tmc050518","59.483334","42.833332","UZ","?Nukus ","exact","599","tmcTRm1200b_017a"
"loc09-tmc050518","55.2","45.3167","KZ","?Beyneu","exact","2577","tmcTRm1200b_018a"
"loc10-tmc050518","37.166668","36.200001","SY","?Aleppo ","exact","231","tmcTRm1200b_049a"
"loc11-tmc050518","38.5481","35.8367","SY","?Ath Thawrah","exact","2524","tmcTRm1200b_050a"
"loc12-tmc050518","39.0167","35.95","SY","?Ar Rakkah ","exact","2388","tmcTRm1200b_051a"
"loc13-tmc050518","40.150002","35.333332","SY","?Dayr az Zawr","exact","1634","tmcTRm1200b_052a"
"loc14-tmc050518","40.9186","34.45","SY","?Abu Kamal ","exact","2574","tmcTRm1200b_053a"
"loc15-tmc050518","43.3025","33.4239","IQ","?Ar Ramadi","exact","2585","tmcTRm1200b_054a"
