"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Belz","24.0167","50.3833","UA","nkn","exact","2859","tmcPLm1400_017a"
"Frampol","22.6667","50.6833","PL","nkn","exact","2857","tmcPLm1400_023a"
"Grodek Jagiellonski","23.65","49.783333","UA","nkn","exact","1357","tmcPLm1400_009a"
"Hrubieszow","23.916668","50.799999","PL","nkn","exact","1203","tmcPLm1400_027a"
"Izbica","23.1667","50.8833","PL","nkn","exact","2853","tmcPLm1400_032a"
"Janow","22.416668","50.716667","PL","nkn","exact","1336","tmcPLm1400_022a"
"Krasnystaw","23.1833","50.9833","PL","nkn","exact","2846","tmcPLm1400_012a"
"Krzeszow","22.35","50.4","PL","nkn","exact","2845","tmcPLm1400_004a"
"Labunie","23.3667","50.65","PL","nkn","exact","2852","tmcPLm1400_035a"
"loc01-tmc050929","23.1333","50.1667","PL","?Lubaczow","exact","2851","tmcPLm1400_007a"
"loc02-tmc050929","23.3833","49.9333","UA","?Yavoriv","exact","2858","tmcPLm1400_008a"
"loc03-tmc050929","22.8333","51.1333","PL","?Keblow Stary","exact","2847","tmcPLm1400_011a"
"loc04-tmc050929","23.9833","50.5833","PL","?Witkow","exact","2856","tmcPLm1400_016a"
"loc05-tmc050929","24.0833","49.9833","UA","?Kulikov","exact","2862","tmcPLm1400_020a"
"loc06-tmc050929","23.6167","50.75","PL","?Horyszow Ruski","exact","2854","tmcPLm1400_026a"
"loc07-tmc050929","23.85","50.1333","UA","?Dobrosin","exact","2864","tmcPLm1400_038a"
"Lublin","22.566668","51.25","PL","nkn","exact","858","tmcPLm1400_010a"
"Lwow","24","49.833332","UA","nkn","exact","557","tmcPLm1400_009a"
"Mosty Wielkie","24.15","50.2333","UA","nkn","exact","2860","tmcPLm1400_018a"
"Rawa Ruska","23.6167","50.25","UA","nkn","exact","2865","tmcPLm1400_037a"
"Rozwadow","22.05","50.5833","PL","nkn","exact","2842","tmcPLm1400_002a"
"Sandomierz","21.75","50.683334","PL","nkn","exact","1102","tmcPLm1400_001a"
"Sitaniec","23.25","50.7667","PL","nkn","exact","2841","tmcPLm1400_033a"
"Szczebrzeszyn","22.9667","50.7","PL","nkn","exact","2840","tmcPLm1400_024a"
"Tarnogrod","22.75","50.3667","PL","nkn","exact","2849","tmcPLm1400_005a"
"Tomaszow","23.416668","50.450001","PL","nkn","exact","1402","tmcPLm1400_036a"
"Uchanie","23.6333","50.9","PL","nkn","exact","2844","tmcPLm1400_014a"
"Ulanow","22.2667","50.4833","PL","nkn","exact","2843","tmcPLm1400_003a"
"Uscilug","24.15","50.8667","UA","nkn","exact","2863","tmcPLm1400_028a"
"Wlodzimierz","24.333332","50.849998","UA","nkn","exact","705","tmcPLm1400_028a"
"Wojslawice","23.55","50.9167","PL","nkn","exact","2855","tmcPLm1400_013a"
"Zamch","23.0333","50.3167","PL","nkn","exact","2850","tmcPLm1400_006a"
"Zamosc","23.25","50.7167","PL","nkn","exact","2848","tmcPLm1400_034a"
"Zawichost","21.85","50.799999","PL","nkn","exact","340","tmcPLm1400_021a"
"Zolkiew","23.9667","50.0667","UA","nkn","exact","2861","tmcPLm1400_019a"
