NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Buda,HU,Mohacs,HU,nkn,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,19.05,47.5,TGN7006280,18.6831,45.9931,www.fallingrain.com,925,2458,P000,tmcTRm1300_001a
Mohacs,HU,Essek,HR,nkn,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,18.6831,45.9931,www.fallingrain.com,18.6939,45.5511,www.fallingrain.com,2458,2460,P000,tmcTRm1300_002a
Essek,HR,Belgrade,CS,nkn,trd,cd,min,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,18.6939,45.5511,www.fallingrain.com,20.5,44.833332,ADL3867196,2460,903,P000,tmcTRm1300_003a
Belgrade,CS,Nish,CS,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,20.5,44.833332,ADL3867196,21.9,43.316666,ADL3872118,903,941,P000,tmcTRm1300_004a
Nish,CS,Sofia,BG,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,21.9,43.316666,ADL3872118,23.316668,42.683334,ADL1478577,941,901,P000,tmcTRm1300_005a
Sofia,BG,Tatar-Pazarjik,BG,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,23.316668,42.683334,ADL1478577,24.3333,42.2,www.fallingrain.com,901,2461,P000,tmcTRm1300_006a
Tatar-Pazarjik,BG,Filibe,BG,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,24.3333,42.2,www.fallingrain.com,24.75,42.150002,ADL1477391,2461,902,P000,tmcTRm1300_007a
Filibe,BG,Edirne,TR,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,24.75,42.150002,ADL1477391,26.566668,41.666668,ADL4079837,902,900,P000,tmcTRm1300_008a
Tatar-Pazarjik,BG,Kustendil,BG,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,24.3333,42.2,www.fallingrain.com,22.6911,42.2839,ADL1477391,2461,2462,P000,tmcTRm1300_009a
Kustendil,BG,Skopje,MK,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1300,1600,QC4,Inalcik 2000:map,22.6911,42.2839,ADL1477391,21.467,42,TGN7015643,2462,922,P000,tmcTRm1300_010a
