NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
Adana,35.3289,37.0167,TR,nkn,exact,2074,tmcTRm1300_103a
Akkerman,30.35,46.200001,UA,nkn,exact,684,tmcTRm1300_057a
Aksehir,31.4164,38.3575,TR,nkn,exact,2499,tmcTRm1300_100a
Aleppo,37.166668,36.200001,SY,nkn,exact,231,tmcTRm1300_106a
Aleppo,37.166668,36.200001,SY,nkn,exact,231,tmcTRm1300_105a
Amasra,32.3867,41.745,TR,nkn,exact,2514,tmcTRm1300_160a
Amasya,35.8331,40.6533,TR,nkn,exact,2500,tmcTRm1300_087a
Ancona,13.5,43.633331,IT,nkn,exact,2,tmcTRm1300_131a
Ankara,32.866669,39.933334,TR,nkn,exact,769,tmcTRm1300_098a
Antalya,30.7,36.8833,UA,nkn,exact,2018,tmcTRm1300_172a
Argos,22.7333,37.6333,GR,nkn,exact,2474,tmcTRm1300_030a
Athens,23.733334,37.983334,GR,nkn,exact,866,tmcTRm1300_031a
Avlonya,19.4897,40.4667,AL,nkn,exact,2481,tmcTRm1300_079a
Aydos,27.25,42.7,BG,nkn,exact,2465,tmcTRm1300_020a
Azov,39.413612,47.110001,RU,nkn,exact,280,tmcTRm1300_064a
Babadag,28.7167,44.9,RO,nkn,exact,2467,tmcTRm1300_016a
Baghdad,44.39389,33.338612,IQ,nkn,exact,1635,tmcTRm1300_117a
Bahcesaray,33.8667,44.75,UA,nkn,exact,2488,tmcTRm1300_061a
Balikesir,27.8861,39.6492,TR,nkn,exact,2501,tmcTRm1300_119a
Beirut,35.509724,33.871944,LB,nkn,exact,29,tmcTRm1300_114a
Belgrade,20.5,44.833332,CS,nkn,exact,903,tmcTRm1300_004a
Birecik,37.966667,37.033333,TR,nkn,exact,243,tmcTRm1300_109a
Bolu,31.6061,40.7358,TR,nkn,exact,2502,tmcTRm1300_082a
Brashov,25.5833,45.6333,RO,nkn,exact,2492,tmcTRm1300_073a
Bucharest,26.1,44.4333,RO,nkn,exact,2489,tmcTRm1300_047a
Buda,19.05,47.5,HU,nkn,exact,925,tmcTRm1300_001a
Bursa,29.067,40.2,TR,nkn,exact,929,tmcTRm1300_093a
Caffa,35.383331,45.033333,TR,nkn,exact,241,tmcTRm1300_163a
Cesme,26.3064,38.3228,TR,nkn,exact,2029,tmcTRm1300_154a
