"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Venice","IT","loc01-tmc051112","HR","?Pula; unnamed main (Adriatic) route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","12.326667","45.43861","ADL 2520567","13.8481","44.8683","www.fallingrain.com","323","3033","P000","tmcXMEm1400_001a"
"loc01-tmc051112","HR","Zara","HR","?Pula; unnamed main (Adriatic) route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","13.8481","44.8683","www.fallingrain.com","15.2422","44.1197","www.fallingrain.com","3033","2527","P000","tmcXMEm1400_002a"
"Zara","HR","sealoc02-tmc050503","HR","E of Split; unnamed main (Adriatic) route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","15.2422","44.1197","www.fallingrain.com","15.9879","43.3766","OWT","2527","2533","P000","tmcXMEm1400_003a"
"sealoc02-tmc050503","HR","loc02-tmc051112","HR","E of Split; ?Dubrovnik; unnamed main (Adriatic) route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","15.9879","43.3766","OWT","18.088612","42.650555","ADL2324813","2533","920","P000","tmcXMEm1400_004a"
"loc02-tmc051112","HR","Corfu","GR","?Dubrovnik; unnamed main (Adriatic) route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","18.088612","42.650555","ADL2324813","19.919722","39.619999","ADL2249054","920","951","P000","tmcXMEm1400_005a"
"Corfu","GR","Syracuse","IT","'Flanders' & 'Aigues Mortes' & 'Barbary' & 'al trafego' [Tunis & Alexandria leg] route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","19.919722","39.619999","ADL2249054","15.3","37.067","TGN7003794","951","928","P000","tmcXMEm1400_006a"
"Syracuse","IT","Messina","IT","'Flanders' & 'Aigues Mortes' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","15.3","37.067","TGN7003794","15.5667","38.1833","www.fallingrain.com","928","2182","P000","tmcXMEm1400_007a"
"Messina","IT","Palermo","IT","Flanders' & 'Aigues Mortes' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","15.5667","38.1833","www.fallingrain.com","13.383","38.133","TGN","2182","120","P000","tmcXMEm1400_008a"
"Palermo","IT","Palma","ES","'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","13.383","38.133","TGN","2.65","39.5667","www.fallingrain.com","120","2709","P000","tmcXMEm1400_009a"
"Palma","ES","sealoc01-tmc051112","ES","E. of Gibraltar Strait;  'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","2.65","39.5667","www.fallingrain.com","-1.66","36.5","OWT","2709","3047","P000","tmcXMEm1400_010a"
"sealoc01-tmc051112","ES","sealoc02-tmc051112","ES","E. of Gibraltar Strait;Gibraltar Strait; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-1.66","36.5","OWT","-5.53","35.95","OWT","3047","3039","P000","tmcXMEm1400_011a"
"sealoc02-tmc051112","ES","Cadiz","ES","Gibraltar Strait;  'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-5.53","35.95","OWT","-6.3","36.533","TGN","3039","37","P000","tmcXMEm1400_012a"
"Cadiz","ES","sealoc03-tmc051112","ES","Cape S.Vicente  'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-6.3","36.533","TGN","-9.24","36.57","OWT","37","3040","P000","tmcXMEm1400_013a"
"sealoc03-tmc051112","ES","Lisbon","PT","Cape S.Vicente; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-9.24","36.57","OWT","-9.1333","38.7167","www.fallingrain.com","3040","2705","P000","tmcXMEm1400_014a"
"Lisbon","PT","sealoc04-tmc051112","PT","W. of Lisbon; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-9.1333","38.7167","www.fallingrain.com","-9.9","38.9","OWT","2705","3049","P000","tmcXMEm1400_015a"
"sealoc04-tmc051112","PT","sealoc05-tmc051112","ES","W. of Lisbon; Biscay Bay SW; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-9.9","38.9","OWT","-9.52","43.69","OWT","3049","3041","P000","tmcXMEm1400_016a"
"sealoc05-tmc051112","ES","sealoc06-tmc051112","FR","Biscay Bay SW; Biscay Bay NE; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-9.52","43.69","OWT","-5.21","48.5","OWT","3041","3042","P000","tmcXMEm1400_017a"
"sealoc06-tmc051112","FR","Southampton","UK","Biscay Bay NE; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-5.21","48.5","OWT","-1.4","50.900002","ADL4178383","3042","1513","P000","tmcXMEm1400_018a"
"Southampton","UK","sealoc07-tmc051112","UK","English Channel; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-1.4","50.900002","ADL4178383","1.49","51","OWT","1513","3043","P000","tmcXMEm1400_019a"
"sealoc07-tmc051112","UK","Sandwich","UK","English Channel; 'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","1.49","51","OWT","1.35","51.2667","OWT","3043","3044","P000","tmcXMEm1400_020a"
"Sandwich","UK","London","UK","'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","1.35","51.2667","OWT","-.116667","51.5","4171789","3044","1475","P000","tmcXMEm1400_021a"
"London","UK","Bruges","BE","'Flanders' route (Venice - Bruges - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1533","QC4","Spufford 2002:398 & 404","-.116667","51.5","4171789","3.2333","51.2167","www.fallingrain.com","1475","2702","P000","tmcXMEm1400_022a"
"Palermo","IT","Naples","IT","'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","13.383","38.133","TGN","14.25","40.8333","www.fallingrain.com","120","2721","P000","tmcXMEm1400_023a"
"Naples","IT","sealoc08-tmc051112","IT","W of Italy; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","14.25","40.8333","www.fallingrain.com","12.69","41.0955","OWT","2721","3045","P000","tmcXMEm1400_024a"
"sealoc08-tmc051112","IT","Civitavecchia","IT","W of Italy; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","12.69","41.0955","OWT","11.8","42.1","www.fallingrain.com","3045","2191","P000","tmcXMEm1400_025a"
"Civitavecchia","IT","sealoc17-tmc051112","IT","Piombino Straits; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","11.8","42.1","www.fallingrain.com","10.45","42.884","OWT","2191","3056","P000","tmcXMEm1400_026a"
"sealoc17-tmc051112","IT","Pisa","IT","Piombino Straits; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","10.45","42.884","OWT","10.3833","43.7167","www.fallingrain.com","3056","2726","P000","tmcXMEm1400_027a"
"Pisa","IT","sealoc09-tmc051112","FR","S. of Marseilles; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","10.3833","43.7167","www.fallingrain.com","6.09","42.67","OWT","2726","3048","P000","tmcXMEm1400_028a"
"sealoc09-tmc051112","FR","Marseilles","FR","S. of Marseilles; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","6.09","42.67","OWT","5.4","43.299999","ADL2016946","3048","97","P000","tmcXMEm1400_029a"
"Marseilles","FR","Aigues Mortes","FR","'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","5.4","43.299999","ADL2016946","4.1833","43.5667","www.fallingrain.com","97","3034","P000","tmcXMEm1400_030a"
"Aigues Mortes","FR","sealoc10-tmc051112","ES","S. of Perpignan; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","4.1833","43.5667","www.fallingrain.com","3.74","41.83","OWT","3034","3046","P000","tmcXMEm1400_031a"
"sealoc10-tmc051112","FR","Barcelona","ES","S. of Perpignan; 'Aigues Mortes' route  (Venice - Valencia - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1508","QC4","Spufford 2002:398 & 404","3.74","41.83","OWT","2.183333","41.383331","ADL3829611","3046","389","P000","tmcXMEm1400_032a"
