NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
Agadir,-9.667,30.5,MA,nkn,exact,894,tmcMAm1500_006a
Fes,-4.982778,34.052776,MA,nkn,exact,786,tmcMAm1500_002a
Figuig,-1.226944,32.116669,MA,nkn,exact,1009,tmcMAm1500_002a
Marrakesh,-8,31.633333,MA,nkn,exact,788,tmcMAm1500_007a
Mogador,-9.769722,31.513056,MA,nkn,exact,1008,tmcMAm1500_005a
Oualata,-7.033333,17.299999,MR,nkn,exact,792,tmcMAm1500_015a
Sijilmassa,-4.283333,31.283333,MA,nkn,exact,789,tmcMAm1500_003a
Tangier,-5.812778,35.784721,MA,nkn,exact,800,tmcMAm1500_009a
Timbuktu,-3.016667,16.766666,ML,nkn,exact,793,tmcMAm1500_016a
Tlemcen,-1.315,34.878334,DZ,nkn,exact,787,tmcMAm1500_001a
Tunis,10.217,36.833,MA,nkn,exact,868,tmcMAm1500_010a
frk01-tmc010509,-8.866667,30.483334,MA,nkn,exact,1007,tmcMAm1500_008a
frk02-tmc010509,2.483,27.2,DZ,nkn,exact,617,tmcMAm1500_019a
loc01-tmc010509,-8.147778,27.674168,DZ,nkn,exact,801,tmcMAm1500_008a
loc02-tmc010509,-12.7,22.6833,MR,nkn,exact,1006,tmcMAm1500_015a
loc03-tmc010509,-3.9833,22.6667,ML,nkn,exact,869,tmcMAm1500_017a
