NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
St-Jean-Pied-de-Port,FR,Ronceveaux,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,r023km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-1.233333,43.166668, adlgaz-1-2033023-2b ,-1.316677,43.016666,ADL3856990,465,278,P000,tmcESm1999_001a
Ronceveaux,ES,Larrasoana,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d027km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-1.316677,43.016666,ADL3856990,-1.533333,42.900002,ADL3845568,278,1479,P000,tmcESm1999_002a
Larrasoana,ES,Cizur Menor,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d020km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-1.533333,42.900002,ADL3845568,-1.666667,42.783333,ADL3835420,1479,1480,P000,tmcESm1999_003a
Cizur Menor,ES,Puente la Reina,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d020km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-1.666667,42.783333,ADL3835420,-1.816667,42.666668,ADL3855085,1480,363,P000,tmcESm1999_004a
Puente la Reina,ES,Estella,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d019km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-1.816667,42.666668,ADL3855085,-2.033333,42.666668,ADL3839257,363,381,P000,tmcESm1999_005a
Estella,ES,Torres del Rio,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d027km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-2.033333,42.666668,ADL3839257,-2.266667,42.549999,ADL3862166,381,1481,P000,tmcESm1999_006a
Torres del Rio,ES,Navarrete,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d033km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-2.266667,42.549999,ADL3862166,-2.55,42.433334,ADL3851090,1481,1488,P000,tmcESm1999_007a
Navarrete,ES,Azofra,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d021km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-2.55,42.433334,ADL3851090,-2.8,42.416668,ADL3829188,1488,1482,P000,tmcESm1999_008a
Azofra,ES,Belorado,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d035km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-2.8,42.416668,ADL3829188,-3.183333,42.416668,ADL3830219,1482,1483,P000,tmcESm1999_009a
Belorado,ES,San Juan de Ortega,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d024km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-3.183333,42.416668,ADL3830219,-3.433333,42.366669,ADL3858141,1483,370,P000,tmcESm1999_010a
San Juan de Ortega,ES,Burgos,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d023km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-3.433333,42.366669,ADL3858141,-3.7,42.349998,ADL3831539,370,387,P000,tmcESm1999_011a
Burgos,ES,Hontanas,ES,nkn,plg,rd,maj,A001,B001,C001,Santiago,d028km,wlk,r001d,1999,1999,QA2,Loiselle  n.d.,-3.7,42.349998,ADL3831539,-4.033333,42.316666,ADL3842529,387,1484,P000,tmcESm1999_012a
